ProteinID	TPM_max
drosophila__Unknown__TRINITY_DN25296_c0_g1_i2.p1	3.000743
drosophila__Unknown__TRINITY_DN25296_c0_g1_i2.p1	3.000743
drosophila__Unknown__TRINITY_DN3038_c0_g1_i12.p1	7.42262
drosophila__Unknown__TRINITY_DN3038_c0_g1_i12.p1	7.42262
amphioxus__Unknown__TRINITY_DN12601_c0_g1_i10.p1	1.962648
amphioxus__Unknown__TRINITY_DN13784_c1_g1_i4.p1	3.486505
amphioxus__Unknown__TRINITY_DN1575_c0_g1_i4.p1	28.294502
amphioxus__Unknown__TRINITY_DN28818_c0_g1_i5.p1	1.391299
amphioxus__Unknown__TRINITY_DN318_c0_g1_i8.p1	17.645975
amphioxus__Unknown__TRINITY_DN38989_c0_g1_i1.p1	1.391411
amphioxus__Unknown__TRINITY_DN49760_c0_g1_i1.p1	19.565683
amphioxus__Unknown__TRINITY_DN874_c0_g1_i9.p1	13.228276
amphioxus__Unknown__TRINITY_DN879_c0_g1_i26.p1	20.806851
amphioxus__Unknown__TRINITY_DN9967_c0_g1_i3.p2	5.225217
amphioxus__Unknown__TRINITY_DN9967_c1_g1_i5.p1	10.931192
amphioxus__Unknown__TRINITY_DN10165_c0_g1_i8.p1	1.733349
amphioxus__Unknown__TRINITY_DN154777_c0_g1_i1.p1	1.13549
amphioxus__Unknown__TRINITY_DN2837_c0_g1_i3.p1	100.020042
amphioxus__Unknown__TRINITY_DN2837_c0_g1_i3.p1	100.020042
amphioxus__Unknown__TRINITY_DN5051_c0_g1_i9.p1	19.818502
amphioxus__Unknown__TRINITY_DN5051_c0_g1_i9.p1	19.818502
amphioxus__Unknown__TRINITY_DN1892_c0_g1_i9.p1	18.070407
vaseTunicate__Unknown__TRINITY_DN3750_c0_g1_i1.p1	25.831378
vaseTunicate__Unknown__TRINITY_DN4130_c0_g1_i6.p1	3.399943
vaseTunicate__Unknown__TRINITY_DN5152_c0_g1_i2.p1	6.030322
vaseTunicate__Unknown__TRINITY_DN1083_c0_g1_i4.p1	9.100462
vaseTunicate__Unknown__TRINITY_DN1083_c0_g1_i4.p1	9.100462
vaseTunicate__Unknown__TRINITY_DN8422_c0_g1_i2.p1	2.019373
vaseTunicate__Unknown__TRINITY_DN8422_c0_g1_i2.p1	2.019373
vaseTunicate__Unknown__TRINITY_DN19550_c0_g1_i1.p1	2.013547
vaseTunicate__Unknown__TRINITY_DN3977_c0_g1_i5.p1	4.609439
vaseTunicate__Unknown__TRINITY_DN6996_c0_g1_i4.p2	2.04034
broadgilledHagfish__Unknown__TRINITY_DN14002_c1_g1_i2.p2	4.396435
broadgilledHagfish__Unknown__TRINITY_DN14002_c1_g1_i2.p2	4.396435
broadgilledHagfish__Unknown__TRINITY_DN4400_c1_g1_i51.p1	2.987466
broadgilledHagfish__Unknown__TRINITY_DN4400_c1_g1_i51.p1	2.987466
broadgilledHagfish__Unknown__TRINITY_DN6543_c0_g1_i1.p1	30.335264
broadgilledHagfish__Unknown__TRINITY_DN6543_c0_g1_i1.p1	30.335264
broadgilledHagfish__Unknown__TRINITY_DN73721_c1_g2_i1.p1	3.720784
broadgilledHagfish__Unknown__TRINITY_DN73721_c1_g2_i1.p1	3.720784
broadgilledHagfish__Unknown__TRINITY_DN74_c1_g1_i3.p1	229.999733
broadgilledHagfish__Unknown__TRINITY_DN74_c1_g1_i3.p1	229.999733
broadgilledHagfish__Unknown__TRINITY_DN8575_c0_g2_i1.p1	58.640328
broadgilledHagfish__Unknown__TRINITY_DN8575_c0_g2_i1.p1	58.640328
broadgilledHagfish__Unknown__TRINITY_DN1106_c1_g1_i2.p1	4.609596
broadgilledHagfish__Unknown__TRINITY_DN1106_c1_g1_i2.p1	4.609596
broadgilledHagfish__Unknown__TRINITY_DN1106_c1_g1_i2.p1	4.609596
broadgilledHagfish__Unknown__TRINITY_DN74_c0_g1_i1.p1	65.924791
broadgilledHagfish__Unknown__TRINITY_DN74_c0_g1_i1.p1	65.924791
broadgilledHagfish__Unknown__TRINITY_DN74_c0_g1_i1.p1	65.924791
broadgilledHagfish__Unknown__TRINITY_DN74_c12_g1_i2.p1	111.655643
broadgilledHagfish__Unknown__TRINITY_DN74_c12_g1_i2.p1	111.655643
broadgilledHagfish__Unknown__TRINITY_DN74_c12_g1_i2.p1	111.655643
broadgilledHagfish__Unknown__TRINITY_DN2165_c0_g1_i4.p1	12.112349
pouchedLamprey__Unknown__TRINITY_DN1329_c2_g1_i1.p3	50.300505
pouchedLamprey__Unknown__TRINITY_DN1329_c2_g1_i1.p3	50.300505
pouchedLamprey__Unknown__TRINITY_DN29209_c0_g2_i1.p1	1.891844
pouchedLamprey__Unknown__TRINITY_DN29209_c0_g2_i1.p1	1.891844
pouchedLamprey__Unknown__TRINITY_DN334_c0_g3_i1.p1	30.77874
pouchedLamprey__Unknown__TRINITY_DN334_c0_g3_i1.p1	30.77874
pouchedLamprey__Unknown__TRINITY_DN583_c1_g1_i6.p1	47.530515
pouchedLamprey__Unknown__TRINITY_DN583_c1_g1_i6.p1	47.530515
pouchedLamprey__Unknown__TRINITY_DN7103_c0_g1_i2.p1	5.169064
pouchedLamprey__Unknown__TRINITY_DN7103_c0_g1_i2.p1	5.169064
pouchedLamprey__Unknown__TRINITY_DN89149_c0_g1_i1.p2	4.928362
pouchedLamprey__Unknown__TRINITY_DN89149_c0_g1_i1.p2	4.928362
pouchedLamprey__Unknown__TRINITY_DN1833_c0_g1_i24.p2	4.968248
pouchedLamprey__Unknown__TRINITY_DN1833_c0_g1_i24.p2	4.968248
pouchedLamprey__Unknown__TRINITY_DN7103_c1_g1_i1.p2	23.380205
pouchedLamprey__Unknown__TRINITY_DN7103_c1_g1_i1.p2	23.380205
pouchedLamprey__Unknown__TRINITY_DN4424_c2_g1_i1.p2	6.490101
pouchedLamprey__Unknown__TRINITY_DN6656_c0_g2_i2.p2	13.6565
shortheadLamprey__Unknown__TRINITY_DN19508_c0_g1_i1.p1	3.692529
shortheadLamprey__Unknown__TRINITY_DN19508_c0_g1_i1.p1	3.692529
shortheadLamprey__Unknown__TRINITY_DN19508_c0_g1_i1.p1	3.692529
shortheadLamprey__Unknown__TRINITY_DN216_c1_g1_i9.p1	37.963176
shortheadLamprey__Unknown__TRINITY_DN216_c1_g1_i9.p1	37.963176
shortheadLamprey__Unknown__TRINITY_DN216_c1_g1_i9.p1	37.963176
shortheadLamprey__Unknown__TRINITY_DN5384_c2_g1_i1.p1	44.905621
shortheadLamprey__Unknown__TRINITY_DN5384_c2_g1_i1.p1	44.905621
shortheadLamprey__Unknown__TRINITY_DN5384_c2_g1_i1.p1	44.905621
shortheadLamprey__Unknown__TRINITY_DN586_c6_g1_i3.p1	80.0414
shortheadLamprey__Unknown__TRINITY_DN586_c6_g1_i3.p1	80.0414
shortheadLamprey__Unknown__TRINITY_DN586_c6_g1_i3.p1	80.0414
shortheadLamprey__Unknown__TRINITY_DN6185_c0_g1_i3.p1	51.869894
shortheadLamprey__Unknown__TRINITY_DN6185_c0_g1_i3.p1	51.869894
shortheadLamprey__Unknown__TRINITY_DN6185_c0_g1_i3.p1	51.869894
shortheadLamprey__Unknown__TRINITY_DN7003_c0_g1_i7.p1	3.733068
shortheadLamprey__Unknown__TRINITY_DN7003_c0_g1_i7.p1	3.733068
shortheadLamprey__Unknown__TRINITY_DN7003_c0_g1_i7.p1	3.733068
shortheadLamprey__Unknown__TRINITY_DN7010_c0_g1_i2.p1	1.412443
