OrganismOrder181	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	scrna35	hahnscrna17	liscrna24	near29	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment	SurrogateID	SurrogateShortName	SurrogateAnnotationSource	SurrogateAnnotationRelease	SurrogateAnnotationName
22	inshoreHagfish	Eptatretus_burgeri	Inshore Hagfish	Eptatretus burgeri	Agnathans (hagfish and lampreys)	Yes	Yes	extra		No	No	No	No	No	No	Ensembl	GCA_000001405.14	Eburgeri_3.2		Eptatretus_burgeri	inshoreHagfish	Ensembl	GCA_000001405.14	Eburgeri_3.2
23	brownHagfish	Eptatretus_atami	Brown Hagfish	Eptatretus atami	Agnathans (hagfish and lampreys)	Yes	Yes	extra		No	No	No	No	No	No	Custom				Eptatretus_atami	brownHagfish	Custom		
24	broadgilledHagfish	Eptatretus_cirrhatus	Broadgilled hagfish	Eptatretus cirrhatus	Agnathans (hagfish and lampreys)	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	NoGenome				Myxine_glutinosa	atlanticHagfish	GCF	GCF_040869285.1	UKY_Mglu_1.0
25	pouchedLamprey	Geotria_australis	Pouched lamprey	Geotria australis	Agnathans (hagfish and lampreys)	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCA	GCA_036362915.1	kcGeoAust1.1		Petromyzon_marinus	seaLamprey	GCF	GCF_048934315.1	UKy_Petmar_22M1.pri1.0
26	shortheadLamprey	Mordacia_mordax	Short-headed lamprey	Mordacia mordax	Agnathans (hagfish and lampreys)	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCA	GCA_036362905.1	kcMorMord1.1		Petromyzon_marinus	seaLamprey	GCF	GCF_048934315.1	UKy_Petmar_22M1.pri1.0
27	seaLamprey	Petromyzon_marinus	Sea lamprey	Petromyzon marinus	Agnathans (hagfish and lampreys)	Yes	Yes	annotated50,bulkrna107,hahnscrna17	13.0	Yes	Yes	Yes	Yes	No	No	GCF	GCF_048934315.1	UKy_Petmar_22M1.pri1.0	Orig papers used GCF_010993605.1_kPetMar1.pri and GCA_000148955.1_Pmarinus_7.0	Petromyzon_marinus	seaLamprey	GCF	GCF_048934315.1	UKy_Petmar_22M1.pri1.0
28	europeanRiverLamprey	Lampetra_fluviatilis	European river lamprey	Lampetra fluviatilis	Agnathans (hagfish and lampreys)	Yes	Yes	extra		No	No	No	No	No	No	Custom				Lampetra_fluviatilis	europeanRiverLamprey	Custom		
29	europeanBrookLamprey	Lampetra_planeri	European brook lamprey	Lampetra planeri	Agnathans (hagfish and lampreys)	Yes	Yes	extra		No	No	No	No	No	No	Custom				Lampetra_planeri	europeanBrookLamprey	Custom		
30	fareasternBrookLamprey	Lethenteron_reissneri	Far Eastern brook lamprey	Lethenteron reissneri	Agnathans (hagfish and lampreys)	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_015708825.1	ASM1570882v1		Lethenteron_reissneri	fareasternBrookLamprey	GCF	GCF_015708825.1	ASM1570882v1
31	arcticLamprey	Lethenteron_camtschaticum	Arctic lamprey	Lethenteron camtschaticum	Agnathans (hagfish and lampreys)	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_015708825.1	ASM1570882v1		Lethenteron_reissneri	fareasternBrookLamprey	GCF	GCF_015708825.1	ASM1570882v1
