OrganismOrder181	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	scrna35	hahnscrna17	liscrna24	near29	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment	SurrogateID	SurrogateShortName	SurrogateAnnotationSource	SurrogateAnnotationRelease	SurrogateAnnotationName
89	chineseAlligator	Alligator_sinensis	Chinese alligator	Alligator sinensis	Crocodiles	Yes	Yes	annotated50	35.0	Yes	No	No	No	No	No	GCF	GCF_000455745.1	ASM45574v1		Alligator_sinensis	chineseAlligator	GCF	GCF_000455745.1	ASM45574v1
90	emu	Dromaius_novaehollandiae	Emu	Dromaius novaehollandiae	Birds	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_036370855.1	bDroNov1.hap1	Orig paper used GCF_003342905.1_droNov1	Dromaius_novaehollandiae	emu	GCF	GCF_036370855.1	bDroNov1.hap1
91	ostrich	Struthio_camelus	Common ostrich	Struthio camelus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_040807025.1	bStrCam1.hap1	Orig paper used GCF_000698965.1_ASM69896v1	Struthio_camelus	ostrich	GCF	GCF_040807025.1	bStrCam1.hap1
92	mallardDuck	Anas_platyrhynchos	Duck	Anas platyrhynchos	Birds	Yes	Yes	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_047663525.1	IASCAAS_PekinDuck_T2T	Orig paper used ZJU1.0	Anas_platyrhynchos	mallardDuck	GCF	GCF_047663525.1	IASCAAS_PekinDuck_T2T
93	muscovyDuck	Cairina_moschata	Muscovy duck	Cairina moschata	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Anas_platyrhynchos	mallardDuck	GCF	GCF_047663525.1	IASCAAS_PekinDuck_T2T
94	quail	Coturnix_japonica	Japanese quail	Coturnix japonica	Birds	Yes	Yes	annotated50,bulkrna107	36.0	Yes	Yes	No	No	No	No	GCF	GCF_001577835.2	Coturnix_japonica_2.1		Coturnix_japonica	quail	GCF	GCF_001577835.2	Coturnix_japonica_2.1
95	chicken	Gallus_gallus	Chicken	Gallus gallus domesticus	Birds	Yes	Yes	annotated50,bulkrna107,hahnscrna17,liscrna24	37.0	Yes	Yes	Yes	Yes	Yes	No	GCF	GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Orig paper used GCF_000002315.4_Gallus_gallus-5.0	Gallus_gallus	chicken	GCF	GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b
96	sunangel	Heliangelus_exortis	Tourmaline sunangel	Heliangelus exortis	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_036169615.1	bHelExo1.hap1		Heliangelus_exortis	sunangel	GCF	GCF_036169615.1	bHelExo1.hap1
97	redStreamertail	Trochilus_polytmus	Red-billed streamertail	Trochilus polytmus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Heliangelus_exortis	sunangel	GCF	GCF_036169615.1	bHelExo1.hap1
98	blackStreamertail	Trochilus_scitulus	Black-billed streamertail	Trochilus scitulus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Heliangelus_exortis	sunangel	GCF	GCF_036169615.1	bHelExo1.hap1
99	hybridStreamertail	Trochilus_hybrid	Hybrid streamertail	Trochilus hybrid	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Heliangelus_exortis	sunangel	GCF	GCF_036169615.1	bHelExo1.hap1
100	pigeon	Columba_livia	Rock dove	Columba livia	Birds	Yes	Yes	annotated50,bulkrna107	38.0	Yes	Yes	No	No	No	No	GCF	GCF_036013475.1	bColLiv1.pat.W.v2	Orig paper used GCF_000337935.1/Cliv_1.0	Columba_livia	pigeon	GCF	GCF_036013475.1	bColLiv1.pat.W.v2
101	kite	Elanus_caeruleus	Black-winged kite	Elanus caeruleus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Aquila_chrysaetos	goldenEagle	GCF	GCF_900496995.4	bAquChr1.4
102	goldenEagle	Aquila_chrysaetos	Gilden eagle	Aquila chrysaetos chrysaetos	Birds	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_900496995.4	bAquChr1.4		Aquila_chrysaetos	goldenEagle	GCF	GCF_900496995.4	bAquChr1.4
103	vulture	Aegypius_monachus	Cinereous vulture	Aegypius monachus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Harpia_harpyja	harpyEagle	GCF	GCF_026419915.1	bHarHar1_primary_haplotype
104	harpyEagle	Harpia_harpyja	Harpy eagle	Harpia harpyja	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_026419915.1	bHarHar1_primary_haplotype		Harpia_harpyja	harpyEagle	GCF	GCF_026419915.1	bHarHar1_primary_haplotype
105	harrier	Circus_melanoleucos	Pied harrier	Circus melanoleucos	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Astur_gentilis	gosHwak	GCF	GCF_929443795.1	bAccGen1.1
106	greyfacedBuzzard	Butastur_indicus	Grey-faced buzzard	Butastur indicus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Buteo_buteo	commonBuzzard	GCF	GCF_964188355.1	bButBut1.hap1.1
107	commonBuzzard	Buteo_buteo	Common buzzard	Buteo buteo	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_964188355.1	bButBut1.hap1.1		Buteo_buteo	commonBuzzard	GCF	GCF_964188355.1	bButBut1.hap1.1
108	redTailHawk	Buteo_jamaicensis	Red-tailed hawk	Buteo jamaicensis	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Buteo_buteo	commonBuzzard	GCF	GCF_964188355.1	bButBut1.hap1.1
109	gosHwak	Astur_gentilis	Northern goshawk	Astur gentilis	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_929443795.1	bAccGen1.1		Astur_gentilis	gosHwak	GCF	GCF_929443795.1	bAccGen1.1
110	coopersHawk	Accipiter_cooperii	Cooper's hawk	Accipiter cooperii	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	Ensembl Near				Accipiter_nisus	sparrowHawk	Ensembl	GCA_004320145.1	Accipiter_nisus_ver1.0
111	besra	Accipiter_virgatus	Besra	Accipiter virgatus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	Ensembl Near				Accipiter_nisus	sparrowHawk	Ensembl	GCA_004320145.1	Accipiter_nisus_ver1.0
112	sparrowHawk	Accipiter_nisus	Eurasian sparrowhawk	Accipiter nisus	Birds	Yes	Yes	near29		No	No	No	No	No	Yes	Ensembl	GCA_004320145.1	Accipiter_nisus_ver1.0		Accipiter_nisus	sparrowHawk	Ensembl	GCA_004320145.1	Accipiter_nisus_ver1.0
113	barnOwl	Tyto_alba	Barn owl	Tyto alba	Birds	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_018691265.1	T.alba_DEE_v4.0		Tyto_alba	barnOwl	GCF	GCF_018691265.1	T.alba_DEE_v4.0
114	grassOwl	Tyto_longimembris	Eastern grass owl	Tyto longimembris	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_018691265.1	T.alba_DEE_v4.0		Tyto_alba	barnOwl	GCF	GCF_018691265.1	T.alba_DEE_v4.0
115	borealOwl	Aegolius_funereus	Boreal owl	Aegolius funereus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_965140245.1	bAthNoc1.hap1.1		Athene_noctua	littleOwl	GCF	GCF_965140245.1	bAthNoc1.hap1.1
116	littleOwl	Athene_noctua	Little owl	Athene noctua	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_965140245.1	bAthNoc1.hap1.1		Athene_noctua	littleOwl	GCF	GCF_965140245.1	bAthNoc1.hap1.1
117	orientalScopsOwl	Otus_sunia	Oriental scops owl	Otus sunia	Birds	Yes	No	near29		No	No	No	No	No	Yes	Ensembl	GCA_010365825.1	OtuSun1.0		Otus_sunia	orientalScopsOwl	Ensembl	GCA_010365825.1	OtuSun1.0
118	eurasianScopsOwl	Otus_scops	Eurasian scops owl	Otus scops	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCA	GCA_039877175.1	ASM3987717v1		Otus_sunia	orientalScopsOwl	Ensembl	GCA_010365825.1	OtuSun1.0
119	indianScopsOwl	Otus_bakkamoena	Indian scops owl	Otus bakkamoena	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Otus_sunia	orientalScopsOwl	Ensembl	GCA_010365825.1	OtuSun1.0
120	shortearOwl	Asio_flammeus	Short-eared owl	Asio flammeus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Otus_sunia	orientalScopsOwl	Ensembl	GCA_010365825.1	OtuSun1.0
121	longearOwl	Asio_otus	Long-eared owl	Asio otus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Otus_sunia	orientalScopsOwl	Ensembl	GCA_010365825.1	OtuSun1.0
122	screechOwl	Megascops_asio	Eastern screech owl	Megascops asio	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCA	GCA_040967475.1	ASM4096747v1		Otus_sunia	orientalScopsOwl	Ensembl	GCA_010365825.1	OtuSun1.0
123	barredOwl	Strix_varia	Barred owl	Strix varia	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_047716275.1	bStrUra1		Strix_uralensis	uralOwl	GCF	GCF_047716275.1	bStrUra1
124	uralOwl	Strix_uralensis	Ural owl	Strix uralensis	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_047716275.1	bStrUra1		Strix_uralensis	uralOwl	GCF	GCF_047716275.1	bStrUra1
125	tawnyOwl	Strix_aluco	Tawny owl	Strix aluco	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_031877795.1	bStrAlu1.hap1		Strix_aluco	tawnyOwl	GCF	GCF_031877795.1	bStrAlu1.hap1
126	eagleOwl	Bubo_bubo	Eurasian eagle-owl	Bubo bubo	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	Ensembl	GCA_010303855.1	BubBub1.0		Bubo_bubo	eagleOwl	Ensembl	GCA_010303855.1	BubBub1.0
127	hornedOwl	Bubo_virginianus	Great horned owl	Bubo virginianus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCA	GCA_044758155.1	ASM4475815v1		Bubo_bubo	eagleOwl	Ensembl	GCA_010303855.1	BubBub1.0
128	mousebird	Colius_striatus	Speckled mousebird	Colius striatus	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_028858725.1	bColStr4.1.hap1		Colius_striatus	mousebird	GCF	GCF_028858725.1	bColStr4.1.hap1
129	hoopoe	Upupa_epops	Eurasian hoopoe	Upupa epops	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Colius_striatus	mousebird	GCF	GCF_028858725.1	bColStr4.1.hap1
130	honeyguide	Indicator_indicator	Greater honeyguide	Indicator indicator	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_027791375.1	UM_Iind_1.1		Indicator_indicator	honeyguide	GCF	GCF_027791375.1	UM_Iind_1.1
131	woodpecker	Picus_canus	Grey-headed woodpecker	Picus canus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Indicator_indicator	honeyguide	GCF	GCF_027791375.1	UM_Iind_1.1
132	budgerigar	Melopsittacus_undulatus	Budgerigar	Melopsittacus undulatus	Birds	Yes	Yes	bulkrna107,liscrna24		No	Yes	Yes	No	Yes	No	GCF	GCF_012275295.1	bMelUnd1.mat.Z		Melopsittacus_undulatus	budgerigar	GCF	GCF_012275295.1	bMelUnd1.mat.Z
133	commonKestrel	Falco_tinnunculus	Common kestrel	Falco tinnunculus	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	Ensembl	GCA_010332995.1	FalTin1.0		Falco_tinnunculus	commonKestrel	Ensembl	GCA_010332995.1	FalTin1.0
134	peregrineFalcon	Falco_peregrinus	Peregrine falcon	Falco peregrinus	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_023634155.1	bFalPer1.pri		Falco_peregrinus	peregrineFalcon	GCF	GCF_023634155.1	bFalPer1.pri
135	eurasianHobby	Falco_subbuteo	Eurasian hobby	Falco subbuteo	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Falco_peregrinus	peregrineFalcon	GCF	GCF_023634155.1	bFalPer1.pri
136	hawaiianCrow	Corvus_hawaiiensis	Hawaiian crow	Corvus hawaiiensis	Birds	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_020740725.1	bCorHaw1.pri.cur		Corvus_hawaiiensis	hawaiianCrow	GCF	GCF_020740725.1	bCorHaw1.pri.cur
137	carrionCrow	Corvus_corone	Carrion crow	Corvus corone corone	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Corvus_hawaiiensis	hawaiianCrow	GCF	GCF_020740725.1	bCorHaw1.pri.cur
138	hoodedCrow	Corvus_cornix	Hooded crow	Corvus cornix cornix	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_000738735.6	ASM73873v6		Corvus_cornix	hoodedCrow	GCF	GCF_000738735.6	ASM73873v6
139	whiteWagtail	Motacilla_alba	White wagtail	Motacilla alba	Birds	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_015832195.1	Motacilla_alba_V1.0_pri		Motacilla_alba	whiteWagtail	GCF	GCF_015832195.1	Motacilla_alba_V1.0_pri
140	canary	Serinus_canaria	Canary	Serinus canaria	Birds	Yes	No	bulkrna107,liscrna24		No	Yes	Yes	No	Yes	No	GCF	GCF_022539315.1	serCan2020		Serinus_canaria	canary	GCF	GCF_022539315.1	serCan2020
141	zebrafinch	Taeniopygia_guttata	Zebrafinch	Taeniopygia guttata	Birds	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_048771995.1	bTaeGut7.mat	Orig paper used GCF_003957565.2_bTaeGut1.4.pri	Taeniopygia_guttata	zebrafinch	GCF	GCF_048771995.1	bTaeGut7.mat
142	platypus	Ornithorhynchus_anatinus	platypus	Ornithorhynchus anatinus	Mammals	Yes	Yes	annotated50	39.0	Yes	No	No	No	No	No	GCF	GCF_004115215.2	mOrnAna1.pri.v4		Ornithorhynchus_anatinus	platypus	GCF	GCF_004115215.2	mOrnAna1.pri.v4
143	opossum	Monodelphis_domestica	Gray short-tailed opossum	Monodelphis domestica	Mammals	Yes	Yes	annotated50,bulkrna107,hahnscrna17	40.0	Yes	Yes	Yes	Yes	No	No	GCF	GCF_027887165.1	mMonDom1.pri	Orig paper used GCA_000002295.1_ASM229v1	Monodelphis_domestica	opossum	GCF	GCF_027887165.1	mMonDom1.pri
144	europeanHedgehog	Erinaceus_europaeus	Western European hedgehog	Erinaceus europaeus	Mammals	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_950295315.1	mEriEur2.1		Erinaceus_europaeus	europeanHedgehog	GCF	GCF_950295315.1	mEriEur2.1
145	africanHedgehog	Atelerix_algirus	Hedgehog	Atelerix algirus	Mammals	Yes	No	liscrna24		No	No	Yes	No	Yes	No	GCF Near				Erinaceus_europaeus	europeanHedgehog	GCF	GCF_950295315.1	mEriEur2.1
146	sacwingedBat	Saccopteryx_bilineata	Greater sac-winged bat	Saccopteryx bilineata	Mammals	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_036850765.1	mSacBil1_pri_phased_curated		Saccopteryx_bilineata	sacwingedBat	GCF	GCF_036850765.1	mSacBil1_pri_phased_curated
147	tombBat	Taphozous_melanopogon	Black-bearded tomb bat	Taphozous melanopogon	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Saccopteryx_bilineata	sacwingedBat	GCF	GCF_036850765.1	mSacBil1_pri_phased_curated
148	daubentonBat	Myotis_daubentonii	Daubenton's bat	Myotis daubentonii	Mammals	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_963259705.1	mMyoDau2.1		Myotis_daubentonii	daubentonBat	GCF	GCF_963259705.1	mMyoDau2.1
149	myotisBat	Myotis_laniger	Chinese water myotis	Myotis laniger	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Myotis_daubentonii	daubentonBat	GCF	GCF_963259705.1	mMyoDau2.1
150	roundleafBat	Hipposideros_armiger	Great roundleaf bat	Hipposideros armiger	Mammals	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_001890085.2	ASM189008v1		Hipposideros_armiger	roundleafBat	GCF	GCF_001890085.2	ASM189008v1
151	fruitBat	Cynopterus_sphinx	Greater short-nosed fruit bat	Cynopterus sphinx	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Rousettus_aegyptiacus	egyptianBat	GCF	GCF_014176215.1	mRouAeg1.p
152	egyptianBat	Rousettus_aegyptiacus	Egyptian rousette	Rousettus aegyptiacus	Mammals	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_014176215.1	mRouAeg1.p		Rousettus_aegyptiacus	egyptianBat	GCF	GCF_014176215.1	mRouAeg1.p
153	nectarBat	Eonycteris_spelaea	Cave nectar bat	Eonycteris spelaea	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Rousettus_aegyptiacus	egyptianBat	GCF	GCF_014176215.1	mRouAeg1.p
154	horse	Equus_caballus	Horse	Equus caballus	Mammals	Yes	Yes	annotated50,bulkrna107	41.0	Yes	Yes	No	No	No	No	GCF	GCF_041296265.1	TB-T2T		Equus_caballus	horse	GCF	GCF_041296265.1	TB-T2T
155	pig	Sus_scrofa	Wild boar or domestic pig	Sus scrofa domesticas 	Mammals	Yes	No	bulkrna107,liscrna24,hahnscrna17		No	Yes	Yes	Yes	Yes	No	GCF	GCF_000003025.6	Sscrofa11.1		Sus_scrofa	pig	GCF	GCF_000003025.6	Sscrofa11.1
156	minkeWhale	Balaenoptera_acutorostrata	Minke whale	Balaenoptera acutorostrata	Mammals	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_949987535.1	mBalAcu1.1		Balaenoptera_acutorostrata	minkeWhale	GCF	GCF_949987535.1	mBalAcu1.1
157	bowheadWhale	Balaena_mysticetus	Bowhead whale	Balaena mysticetus	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Balaenoptera_acutorostrata	minkeWhale	GCF	GCF_949987535.1	mBalAcu1.1
158	cow	Bos_taurus	Cow	Bos taurus	Mammals	Yes	Yes	annotated50,bulkrna107,hahnscrna17	42.0	Yes	Yes	Yes	Yes	No	No	GCF	GCF_002263795.3	ARS-UCD2.0		Bos_taurus	cow	GCF	GCF_002263795.3	ARS-UCD2.0
159	sheep	Ovis_aries	Sheep	Ovis aries	Mammals	Yes	No	hahnscrna17		No	No	Yes	Yes	No	No	GCF	GCF_016772045.2	ARS-UI_Ramb_v3.0	Orig paper used  Oar_rambouillet_v1.0	Ovis_aries	sheep	GCF	GCF_016772045.2	ARS-UI_Ramb_v3.0
160	cat	Felis_catus	Cat	Felis catus	Mammals	Yes	No	bulkrna107,liscrna24		No	Yes	Yes	No	Yes	No	GCF	GCF_018350175.1	F.catus_Fca126_mat1.0		Felis_catus	cat	GCF	GCF_018350175.1	F.catus_Fca126_mat1.0
161	dog	Canis_familiaris	Dog	Canis lupus familiaris	Mammals	Yes	Yes	annotated50,bulkrna107,liscrna24	43.0	Yes	Yes	Yes	No	Yes	No	GCF	GCF_011100685.1	UU_Cfam_GSD_1.0		Canis_familiaris	dog	GCF	GCF_011100685.1	UU_Cfam_GSD_1.0
162	ferret	Mustela_furo	Ferret	Mustela putorius furo	Mammals	Yes	No	hahnscrna17,liscrna24		No	No	Yes	Yes	Yes	No	GCF	GCF_011764305.1	ASM1176430v1.1		Mustela_furo	ferret	GCF	GCF_011764305.1	ASM1176430v1.1
163	guineapig	Cavia_porcellus	Guinea pig	Cavia porcellus	Mammals	Yes	No	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_034190915.1	mCavPor4.1	Orig paper used  Cavpor3.0	Cavia_porcellus	guineapig	GCF	GCF_034190915.1	mCavPor4.1
164	groundSquirrel	Ictidomys_tridecemlineatus	Thirteen-lined ground squirrel	Ictidomys tridecemlineatus	Mammals	Yes	No	annotated50,bulkrna107,hahnscrna17	44.0	Yes	Yes	Yes	Yes	No	No	GCF	GCF_016881025.1	HiC_Itri_2	Orig paper used  GCF_000236235.1_SpeTri2.0	Ictidomys_tridecemlineatus	groundSquirrel	GCF	GCF_016881025.1	HiC_Itri_2
165	chipmunk	Tamias_sibiricus	Chipmunk	Tamias sibiricus	Mammals	Yes	No	liscrna24		No	No	Yes	No	Yes	No	Custom	GCA_047496905.1	ASM4749690v1	Orig paper used ASM2559416v1	Tamias_sibiricus	chipmunk	Custom	GCA_047496905.1	ASM4749690v1
166	blindMoleRat	Nannospalax_galili	Upper Galilee mountains blind mole rat	Nannospalax galili	Mammals	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_000622305.1	S.galili_v1.0		Nannospalax_galili	blindMoleRat	GCF	GCF_000622305.1	S.galili_v1.0
167	zokor	Myospalax_baileyi	Zokor	Myospalax baileyi	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Nannospalax_galili	blindMoleRat	GCF	GCF_000622305.1	S.galili_v1.0
168	hamster	Mesocricetus_auratus	Hamster	Mesocricetus auratus	Mammals	Yes	No	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_017639785.1	BCM_Maur_2.0		Mesocricetus_auratus	hamster	GCF	GCF_017639785.1	BCM_Maur_2.0
169	deerMouse	Peromyscus_maniculatus	Deer mouse	Peromyscus maniculatus bairdii	Mammals	Yes	No	hahnscrna17		No	No	Yes	Yes	No	No	GCF	GCF_049852395.1	HU_Pman_BW_mat_3.1	Orig paper used HU_Pman_2.1	Peromyscus_maniculatus	deerMouse	GCF	GCF_049852395.1	HU_Pman_BW_mat_3.1
170	gerbil	Meriones_unguiculatus	Mongolian gerbil	Meriones unguiculatus	Mammals	Yes	No	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_030254825.1	Bangor_MerUng_6.1		Meriones_unguiculatus	gerbil	GCF	GCF_030254825.1	Bangor_MerUng_6.1
171	sandRat	Psammomys_obesus	Sand rat	Psammomys obesus	Mammals	Yes	Yes	annotated50,bulkrna107	45.0	Yes	Yes	No	No	No	No	GCF	GCF_907164565.1	mPsaObe1.curated_primary_1811		Psammomys_obesus	sandRat	GCF	GCF_907164565.1	mPsaObe1.curated_primary_1811
172	brownRat	Rattus_norvegicus	Brown rat	Rattus norvegicus	Mammals	Yes	No	annotated50,bulkrna107,liscrna24	46.0	Yes	Yes	Yes	No	Yes	No	GCF	GCF_036323735.1	GRCr8		Rattus_norvegicus	brownRat	GCF	GCF_036323735.1	GRCr8
173	grassMouse	Rhabdomys_pumilio	Four-striped grass mouse	Rhabdomys pumilio	Mammals	Yes	No	hahnscrna17		No	No	Yes	Yes	No	No	Custom		Rhabdomys_pumilio_premRNA		Rhabdomys_pumilio	grassMouse	Custom		Rhabdomys_pumilio_premRNA
174	labMouse	Mus_musculus	Laboratory mouse	Mus musculus	Mammals	Yes	Yes	annotated50,bulkrna107,hahnscrna17,liscrna24	47.0	Yes	Yes	Yes	Yes	Yes	No	GCF	GCF_000001635.27	GRCm39		Mus_musculus	labMouse	GCF	GCF_000001635.27	GRCm39
175	treeShrew	Tupaia_belangeri	Northern treeshrew	Tupaia belangeri chinensis	Mammals	Yes	No	hahnscrna17		No	No	Yes	Yes	No	No	Custom	http://www.treeshrewdb.org/download.html	TS_3.0	Orig paper used  GCF_000334495.1_TupChi_1.0	Tupaia_belangeri	treeShrew	Custom	http://www.treeshrewdb.org/download.html	TS_3.0
176	marmoset	Callithrix_jacchus	Common marmoset	Callithrix jacchus	Mammals	Yes	Yes	annotated50,bulkrna107,hahnscrna17	48.0	Yes	Yes	Yes	Yes	No	No	GCF	GCF_011100555.1	mCalJa1.2.pat.X	Orig paper used GCF_000004665.1_Callithrix jacchus-3.2	Callithrix_jacchus	marmoset	GCF	GCF_011100555.1	mCalJa1.2.pat.X
177	nancymaMonkey	Aotus_nancymaae	Nancy Ma's night monkey	Aotus nancymaae	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_030222135.1	86718_ANA_hifiasm-v0.15.2.pri		Aotus_nancymaae	nancymaMonkey	GCF	GCF_030222135.1	86718_ANA_hifiasm-v0.15.2.pri
178	oliveBaboon	Papio_anubis	Olive baboon	Papio anubis	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_008728515.1	Panubis1.0		Papio_anubis	oliveBaboon	GCF	GCF_008728515.1	Panubis1.0
179	crabMacaque	Macaca_fascicularis	Crab-eating macaque	Macaca fascicularis	Mammals	Yes	Yes	annotated50,bulkrna107,hahnscrna17,liscrna24	49.0	Yes	Yes	Yes	Yes	Yes	No	GCF	GCF_037993035.1	T2T-MFA8v1.0		Macaca_fascicularis	crabMacaque	GCF	GCF_037993035.1	T2T-MFA8v1.0
180	rhesusMacaque	Macaca_mulatta	Rhesus macaque	Macaca mulatta	Mammals	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_003339765.1	Mmul_10		Macaca_mulatta	rhesusMacaque	GCF	GCF_003339765.1	Mmul_10
181	human	Homo_sapiens	Human	Homo sapiens	Mammals	Yes	Yes	annotated50,bulkrna107,hahnscrna17,liscrna24	50.0	Yes	Yes	Yes	Yes	Yes	No	GCF	GCF_000001405.40	GRCh38.p14		Homo_sapiens	human	GCF	GCF_000001405.40	GRCh38.p14
