OrganismShortName	OrganismID	SurrogateID	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment
redSalamander	Plethodon_cinereus	Ambystoma_mexicanum	GCF Near	GCF_040938575.1	UKY_AmexF1_1	
himalayaFrog	Nanorana_parkeri		GCF	GCF_000935625.1	ASM93562v1	
westernFrog	Xenopus_tropicalis		GCF	GCF_000004195.4	UCB_Xtro_10.0	
africanFrog	Xenopus_laevis		GCF	GCF_017654675.1	Xenopus_laevis_v10.1	
tokayGecko	Gekko_gecko	Gekko_japonicus	GCF Near	GCF_001447785.1	Gekko_japonicus_V1.1	
japaneseGecko	Gekko_japonicus		GCF	GCF_001447785.1	Gekko_japonicus_V1.1	
sandLizard	Lacerta_agilis		GCF	GCF_009819535.1	rLacAgi1.pri	
tawnyDragon	Ctenophorus_decresii	Pogona_vitticeps	GCF Near	GCF_900067755.1	pvi1.1	
beardedDragon	Pogona_vitticeps		GCF	GCF_900067755.1	pvi1.1	
greenAnole	Anolis_carolinensis		GCF	GCF_035594765.1	rAnoCar3.1.pri	
brownAnole	Anolis_sagrei		GCF	GCF_037176765.1	rAnoSag1.mat	Orig paper used GCF_025583915.1/AnoSag2.1
python	Python_bivittatus		GCF	GCF_000186305.1	Python_molurus_bivittatus-5.0.2	
groundBoa	Candoia_aspera		GCF	GCF_035149785.1	rCanAsp1.hap2	
cobra	Naja_naja	Candoia_aspera	GCF Near			
garterSnake	Thamnophis_sirtalis		GCF	GCF_001077635.1	Thamnophis_sirtalis-6.0	
cornSnake	Pantherophis_guttatus		GCF	GCF_029531705.1	CU_Pguttatus_1	
greenTurtle	Chelonia_mydas		GCF	GCF_015237465.2	rCheMyd1.pri.v2	
redTurtle	Trachemys_scripta		GCF	GCF_013100865.1	CAS_Tse_1.0	
americanAlligator	Alligator_mississippiensis		GCF	GCF_030867095.1	rAllMis1	
chineseAlligator	Alligator_sinensis		GCF	GCF_000455745.1	ASM45574v1	
emu	Dromaius_novaehollandiae		GCF	GCF_036370855.1	bDroNov1.hap1	Orig paper used GCF_003342905.1_droNov1
ostrich	Struthio_camelus		GCF	GCF_040807025.1	bStrCam1.hap1	Orig paper used GCF_000698965.1_ASM69896v1
mallardDuck	Anas_platyrhynchos		GCF	GCF_047663525.1	IASCAAS_PekinDuck_T2T	Orig paper used ZJU1.0
muscovyDuck	Cairina_moschata	Anas_platyrhynchos	GCF Near			
quail	Coturnix_japonica		GCF	GCF_001577835.2	Coturnix_japonica_2.1	
chicken	Gallus_gallus		GCF	GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Orig paper used GCF_000002315.4_Gallus_gallus-5.0
sunangel	Heliangelus_exortis		GCF	GCF_036169615.1	bHelExo1.hap1	
redStreamertail	Trochilus_polytmus	Heliangelus_exortis	NoGenome			
blackStreamertail	Trochilus_scitulus	Heliangelus_exortis	NoGenome			
hybridStreamertail	Trochilus_hybrid	Heliangelus_exortis	NoGenome			
pigeon	Columba_livia		GCF	GCF_036013475.1	bColLiv1.pat.W.v2	Orig paper used GCF_000337935.1/Cliv_1.0
kite	Elanus_caeruleus	Aquila_chrysaetos	GCF Near			
goldenEagle	Aquila_chrysaetos		GCF	GCF_900496995.4	bAquChr1.4	
vulture	Aegypius_monachus	Harpia_harpyja	GCF Near			
harpyEagle	Harpia_harpyja		GCF	GCF_026419915.1	bHarHar1_primary_haplotype	
harrier	Circus_melanoleucos	Astur_gentilis	GCF Near			
greyfacedBuzzard	Butastur_indicus	Buteo_buteo	GCF Near			
commonBuzzard	Buteo_buteo		GCF	GCF_964188355.1	bButBut1.hap1.1	
redTailHawk	Buteo_jamaicensis	Buteo_buteo	GCF Near			
gosHwak	Astur_gentilis		GCF	GCF_929443795.1	bAccGen1.1	
coopersHawk	Accipiter_cooperii	Accipiter_nisus	Ensembl Near			
besra	Accipiter_virgatus	Accipiter_nisus	Ensembl Near			
sparrowHawk	Accipiter_nisus		Ensembl	GCA_004320145.1	Accipiter_nisus_ver1.0	
barnOwl	Tyto_alba		GCF	GCF_018691265.1	T.alba_DEE_v4.0	
grassOwl	Tyto_longimembris	Tyto_alba	GCF Near	GCF_018691265.1	T.alba_DEE_v4.0	
