    OrganismShortName               OrganismID              OrganismColor bulkrna107 AnnotationSource
49            tilapia  Oreochromis_mossambicus  Teleost ray-finned fishes         No         GCF Near
136   africanHedgehog         Atelerix_algirus                    Mammals         No         GCF Near
157          chipmunk         Tamias_sibiricus                    Mammals         No              GCA
