OrganismOrder181	ShortName	OrganismShortName	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate
65	lungfish	lungfish	West African lungfish	Protopterus annectens	Lobe-finned fishes	Yes
66	earthworm	tinyCaecilian	Tiny Cayenne Caecilian	Microcaecilia unicolor	Amphibians	Yes
67	twolinedCaecilian	twolinedCaecilian	Two-lined caecilian	Rhinatrema bivittatum	Amphibians	Yes
68	chineseSalamander	chineseSalamander	Chinese giant salamander	Andrias davidianus	Amphibians	Yes
69	axolotl	axolotl	Axolotl	Ambystoma mexicanum	Amphibians	Yes
70	redSalamander	redSalamander	Red-backed salamander	Plethodon cinereus	Amphibians	Yes
71	himalayaFrog	himalayaFrog	High Himalaya Frog	Nanorana parkeri	Amphibians	Yes
72	frog	westernFrog	Western clawed frog	Xenopus tropicalis	Amphibians	Yes
73	africanFrog	africanFrog	African clawed frog	Xenopus laevis	Amphibians	Yes
74	tokayGecko	tokayGecko	Tokay gecko	Gekko gecko	Squamata (lizards and snakes)	Yes
75	gecko	japaneseGecko	Japanese gecko	Gekko japonicus	Squamata (lizards and snakes)	Yes
76	sandLizard	sandLizard	Sand lizard	Lacerta agilis	Squamata (lizards and snakes)	Yes
77	tawnyDragon	tawnyDragon	Tawny crevice-dragon	Ctenophorus decresii	Squamata (lizards and snakes)	Yes
78	dragon	beardedDragon	Bearded dragon	Pogona vitticeps	Squamata (lizards and snakes)	Yes
79	greenAnole	greenAnole	Green anole lizard	Anolis carolinensis	Squamata (lizards and snakes)	Yes
80	brownAnole	brownAnole	Brown anole lizard 	Anolis sagrei	Squamata (lizards and snakes)	Yes
81	python	python	Burmese python	Python bivittatus	Squamata (lizards and snakes)	Yes
82	groundBoa	groundBoa	Papuan ground boa	Candoia aspera	Squamata (lizards and snakes)	Yes
83	cobra	cobra	Indian cobra	Naja naja	Squamata (lizards and snakes)	Yes
84	snake	garterSnake	Common garter snake	Thamnophis sirtalis	Squamata (lizards and snakes)	Yes
85	cornSnake	cornSnake	Corn snake	Pantherophis guttatus	Squamata (lizards and snakes)	Yes
86	greenTurtle	greenTurtle	Green turtle	Chelonia mydas	Turtles	Yes
87	turtle	redTurtle	Red-eared slider turtle	Trachemys scripta elegans	Turtles	Yes
88	alligator	americanAlligator	American alligator	Alligator mississippiensis	Crocodiles	Yes
89	chineseAlligator	chineseAlligator	Chinese alligator	Alligator sinensis	Crocodiles	Yes
90	emu	emu	Emu	Dromaius novaehollandiae	Birds	Yes
91	ostrich	ostrich	Common ostrich	Struthio camelus	Birds	Yes
