OrganismOrder177	ShortName	OrganismShortName	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate
54	peacockFish	yellowPeacockFish	Nkhomo-benga peacock	Aulonocara baenschi	Teleost ray-finned fishes	Yes
55	triggerfish	triggerfish	Lagoon triggerfish	Rhinecanthus aculeatus	Teleost ray-finned fishes	Yes
56	oceanJacket	oceanJacket	Chinaman-leatherjacket	Nelusetta ayraudi	Teleost ray-finned fishes	Yes
57	giltheadBream	giltheadBream	Gilt-head bream	Sparus aurata	Teleost ray-finned fishes	Yes
58	oldwife	oldwife	Old wife	Enoplosus armatus	Teleost ray-finned fishes	Yes
59	bluegill	bluegill	Bluegill	Lepomis macrochirus	Teleost ray-finned fishes	Yes
60	coelacanth	coelacanth	Coelacanth	Latimeria chalumnae	Lobe-finned fishes	Yes
61	lungfish	lungfish	West African lungfish	Protopterus annectens	Lobe-finned fishes	Yes
62	earthworm	tinyCaecilian	Tiny Cayenne Caecilian	Microcaecilia unicolor	Amphibians	Yes
63	twolinedCaecilian	twolinedCaecilian	Two-lined caecilian	Rhinatrema bivittatum	Amphibians	Yes
64	chineseSalamander	chineseSalamander	Chinese giant salamander	Andrias davidianus	Amphibians	Yes
65	axolotl	axolotl	Axolotl	Ambystoma mexicanum	Amphibians	Yes
66	redSalamander	redSalamander	Red-backed salamander	Plethodon cinereus	Amphibians	Yes
67	himalayaFrog	himalayaFrog	High Himalaya Frog	Nanorana parkeri	Amphibians	Yes
68	frog	westernFrog	Western clawed frog	Xenopus tropicalis	Amphibians	Yes
69	africanFrog	africanFrog	African clawed frog	Xenopus laevis	Amphibians	Yes
70	tokayGecko	tokayGecko	Tokay gecko	Gekko gecko	Squamata (lizards and snakes)	Yes
71	gecko	japaneseGecko	Japanese gecko	Gekko japonicus	Squamata (lizards and snakes)	Yes
72	sandLizard	sandLizard	Sand lizard	Lacerta agilis	Squamata (lizards and snakes)	Yes
73	tawnyDragon	tawnyDragon	Tawny crevice-dragon	Ctenophorus decresii	Squamata (lizards and snakes)	Yes
74	dragon	beardedDragon	Bearded dragon	Pogona vitticeps	Squamata (lizards and snakes)	Yes
75	greenAnole	greenAnole	Green anole lizard	Anolis carolinensis	Squamata (lizards and snakes)	Yes
76	brownAnole	brownAnole	Brown anole lizard 	Anolis sagrei	Squamata (lizards and snakes)	Yes
77	python	python	Burmese python	Python bivittatus	Squamata (lizards and snakes)	Yes
78	groundBoa	groundBoa	Papuan ground boa	Candoia aspera	Squamata (lizards and snakes)	Yes
79	cobra	cobra	Indian cobra	Naja naja	Squamata (lizards and snakes)	Yes
80	snake	garterSnake	Common garter snake	Thamnophis sirtalis	Squamata (lizards and snakes)	Yes
81	cornSnake	cornSnake	Corn snake	Pantherophis guttatus	Squamata (lizards and snakes)	Yes
82	greenTurtle	greenTurtle	Green turtle	Chelonia mydas	Turtles	Yes
83	turtle	redTurtle	Red-eared slider turtle	Trachemys scripta elegans	Turtles	Yes
84	alligator	americanAlligator	American alligator	Alligator mississippiensis	Crocodiles	Yes
85	chineseAlligator	chineseAlligator	Chinese alligator	Alligator sinensis	Crocodiles	Yes
86	emu	emu	Emu	Dromaius novaehollandiae	Birds	Yes
87	ostrich	ostrich	Common ostrich	Struthio camelus	Birds	Yes
88	duck	mallardDuck	Duck	Anas platyrhynchos	Birds	Yes
89	muscovyDuck	muscovyDuck	Muscovy duck	Cairina moschata	Birds	Yes
90	quail	quail	Japanese quail	Coturnix japonica	Birds	Yes
91	chicken	chicken	Chicken	Gallus gallus domesticus	Birds	Yes
92	sunangel	sunangel	Tourmaline sunangel	Heliangelus exortis	Birds	Yes
93	redStreamertail	redStreamertail	Red-billed streamertail	Trochilus polytmus	Birds	Yes
94	blackStreamertail	blackStreamertail	Black-billed streamertail	Trochilus scitulus	Birds	Yes
95	hybridStreamertail	hybridStreamertail	Hybrid streamertail	Trochilus hybrid	Birds	Yes
96	pigeon	pigeon	Rock dove	Columba livia	Birds	Yes
97	kite	kite	Black-winged kite	Elanus caeruleus	Birds	Yes
98	goldenEagle	goldenEagle	Gilden eagle	Aquila chrysaetos chrysaetos	Birds	Yes
99	vulture	vulture	Cinereous vulture	Aegypius monachus	Birds	Yes
100	harpyEagle	harpyEagle	Harpy eagle	Harpia harpyja	Birds	Yes
101	harrier	harrier	Pied harrier	Circus melanoleucos	Birds	Yes
102	buzzard	greyfacedBuzzard	Grey-faced buzzard	Butastur indicus	Birds	Yes
103	commonBuzzard	commonBuzzard	Common buzzard	Buteo buteo	Birds	Yes
104	redTailHawk	redTailHawk	Red-tailed hawk	Buteo jamaicensis	Birds	Yes
105	gosHwak	gosHwak	Northern goshawk	Astur gentilis	Birds	Yes
106	coopersHawk	coopersHawk	Cooper's hawk	Accipiter cooperii	Birds	Yes
107	besra	besra	Besra	Accipiter virgatus	Birds	Yes
108	sparrowHawk	sparrowHawk	Eurasian sparrowhawk	Accipiter nisus	Birds	Yes
109	barnOwl	barnOwl	Barn owl	Tyto alba	Birds	Yes
110	grassOwl	grassOwl	Eastern grass owl	Tyto longimembris	Birds	Yes
111	borealOwl	borealOwl	Boreal owl	Aegolius funereus	Birds	Yes
112	littleOwl	littleOwl	Little owl	Athene noctua	Birds	Yes
113	orientalScopsOwl	orientalScopsOwl	Oriental scops owl	Otus sunia	Birds	Yes
114	eurasianScopsOwl	eurasianScopsOwl	Eurasian scops owl	Otus scops	Birds	Yes
115	indianScopsOwl	indianScopsOwl	Indian scops owl	Otus bakkamoena	Birds	Yes
116	shortearOwl	shortearOwl	Short-eared owl	Asio flammeus	Birds	Yes
117	longearOwl	longearOwl	Long-eared owl	Asio otus	Birds	Yes
118	screechOwl	screechOwl	Eastern screech owl	Megascops asio	Birds	Yes
119	barredOwl	barredOwl	Barred owl	Strix varia	Birds	Yes
120	uralOwl	uralOwl	Ural owl	Strix uralensis	Birds	Yes
121	tawnyOwl	tawnyOwl	Tawny owl	Strix aluco	Birds	Yes
122	eagleOwl	eagleOwl	Eurasian eagle-owl	Bubo bubo	Birds	Yes
123	hornedOwl	hornedOwl	Great horned owl	Bubo virginianus	Birds	Yes
124	mousebird	mousebird	Speckled mousebird	Colius striatus	Birds	Yes
125	hoopoe	hoopoe	Eurasian hoopoe	Upupa epops	Birds	Yes
126	honeyguide	honeyguide	Greater honeyguide	Indicator indicator	Birds	Yes
127	woodpecker	woodpecker	Grey-headed woodpecker	Picus canus	Birds	Yes
128	budgerigar	budgerigar	Budgerigar	Melopsittacus undulatus	Birds	Yes
129	commonKestrel	commonKestrel	Common kestrel	Falco tinnunculus	Birds	Yes
130	peregrineFalcon	peregrineFalcon	Peregrine falcon	Falco peregrinus	Birds	Yes
131	eurasianHobby	eurasianHobby	Eurasian hobby	Falco subbuteo	Birds	Yes
132	hawaiianCrow	hawaiianCrow	Hawaiian crow	Corvus hawaiiensis	Birds	Yes
133	carrionCrow	carrionCrow	Carrion crow	Corvus corone corone	Birds	Yes
134	hoodedCrow	hoodedCrow	Hooded crow	Corvus cornix cornix	Birds	Yes
135	whiteWagtail	whiteWagtail	White wagtail	Motacilla alba	Birds	Yes
136	canary	canary	Canary	Serinus canaria	Birds	Yes
137	zebrafinch	zebrafinch	Zebrafinch	Taeniopygia guttata	Birds	Yes
138	platypus	platypus	platypus	Ornithorhynchus anatinus	Mammals	Yes
139	opossum	opossum	Gray short-tailed opossum	Monodelphis domestica	Mammals	Yes
140	europeanHedgehog	europeanHedgehog	Western European hedgehog	Erinaceus europaeus	Mammals	Yes
141	africanHedgehog	africanHedgehog	Hedgehog	Atelerix algirus	Mammals	Yes
142	sacwingedBat	sacwingedBat	Greater sac-winged bat	Saccopteryx bilineata	Mammals	Yes
143	tombBat	tombBat	Black-bearded tomb bat	Taphozous melanopogon	Mammals	Yes
144	daubentonBat	daubentonBat	Daubenton's bat	Myotis daubentonii	Mammals	Yes
145	waterMyotis	myotisBat	Chinese water myotis	Myotis laniger	Mammals	Yes
146	roundleafBat	roundleafBat	Great roundleaf bat	Hipposideros armiger	Mammals	Yes
147	fruitBat	fruitBat	Greater short-nosed fruit bat	Cynopterus sphinx	Mammals	Yes
148	egyptianBat	egyptianBat	Egyptian rousette	Rousettus aegyptiacus	Mammals	Yes
149	nectarBat	nectarBat	Cave nectar bat	Eonycteris spelaea	Mammals	Yes
150	horse	horse	Horse	Equus caballus	Mammals	Yes
151	pig	pig	Wild boar or domestic pig	Sus scrofa domesticas 	Mammals	Yes
152	minkeWhale	minkeWhale	Minke whale	Balaenoptera acutorostrata	Mammals	Yes
153	bowheadWhale	bowheadWhale	Bowhead whale	Balaena mysticetus	Mammals	Yes
154	cow	cow	Cow	Bos taurus	Mammals	Yes
155	sheep	sheep	Sheep	Ovis aries	Mammals	Yes
156	cat	cat	Cat	Felis catus	Mammals	Yes
157	dog	dog	Dog	Canis lupus familiaris	Mammals	Yes
158	ferret	ferret	Ferret	Mustela putorius furo	Mammals	Yes
159	treeShrew	treeShrew	Northern treeshrew	Tupaia belangeri chinensis	Mammals	Yes
160	guineapig	guineapig	Guinea pig	Cavia porcellus	Mammals	Yes
161	groundSquirrel	groundSquirrel	Thirteen-lined ground squirrel	Ictidomys tridecemlineatus	Mammals	Yes
162	chipmunk	chipmunk	Chipmunk	Tamias sibiricus	Mammals	Yes
163	blindMoleRat	blindMoleRat	Upper Galilee mountains blind mole rat	Nannospalax galili	Mammals	Yes
164	zokor	zokor	Zokor	Myospalax baileyi	Mammals	Yes
165	hamster	hamster	Hamster	Mesocricetus auratus	Mammals	Yes
166	deerMouse	deerMouse	Deer mouse	Peromyscus maniculatus bairdii	Mammals	Yes
167	gerbil	gerbil	Mongolian gerbil	Meriones unguiculatus	Mammals	Yes
168	sandRat	sandRat	Sand rat	Psammomys obesus	Mammals	Yes
169	grassMouse	grassMouse	Four-striped grass mouse	Rhabdomys pumilio	Mammals	Yes
170	brownRat	brownRat	Brown rat	Rattus norvegicus	Mammals	Yes
171	mouse	labMouse	Laboratory mouse	Mus musculus	Mammals	Yes
172	marmoset	marmoset	Common marmoset	Callithrix jacchus	Mammals	Yes
173	nancymaMonkey	nancymaMonkey	Nancy Ma's night monkey	Aotus nancymaae	Mammals	Yes
174	oliveBaboon	oliveBaboon	Olive baboon	Papio anubis	Mammals	Yes
175	macaque	crabMacaque	Crab-eating macaque	Macaca fascicularis	Mammals	Yes
176	rhesusMacaque	rhesusMacaque	Rhesus macaque	Macaca mulatta	Mammals	Yes
177	human	human	Human	Homo sapiens	Mammals	Yes
