OrganismShortName	Datasets	OrganismOrder50	annotated50	bulkrna107	hahnscrna17	liscrna24	near29
barredOwl	bulkrna107		No	Yes	No	No	No
uralOwl	near29		No	No	No	No	Yes
tawnyOwl	bulkrna107		No	Yes	No	No	No
eagleOwl	bulkrna107		No	Yes	No	No	No
hornedOwl	bulkrna107		No	Yes	No	No	No
mousebird	near29		No	No	No	No	Yes
hoopoe	bulkrna107		No	Yes	No	No	No
honeyguide	near29		No	No	No	No	Yes
woodpecker	bulkrna107		No	Yes	No	No	No
budgerigar	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
commonKestrel	bulkrna107		No	Yes	No	No	No
peregrineFalcon	near29		No	No	No	No	Yes
eurasianHobby	bulkrna107		No	Yes	No	No	No
hawaiianCrow	near29		No	No	No	No	Yes
carrionCrow	bulkrna107		No	Yes	No	No	No
hoodedCrow	bulkrna107		No	Yes	No	No	No
whiteWagtail	bulkrna107		No	Yes	No	No	No
canary	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
zebrafinch	bulkrna107		No	Yes	No	No	No
platypus	annotated50	39	Yes	No	No	No	No
opossum	"annotated50,bulkrna107,hahnscrna17"	40	Yes	Yes	Yes	No	No
europeanHedgehog	near29		No	No	No	No	Yes
africanHedgehog	liscrna24		No	No	No	Yes	No
sacwingedBat	near29		No	No	No	No	Yes
tombBat	bulkrna107		No	Yes	No	No	No
daubentonBat	near29		No	No	No	No	Yes
myotisBat	bulkrna107		No	Yes	No	No	No
roundleafBat	bulkrna107		No	Yes	No	No	No
fruitBat	bulkrna107		No	Yes	No	No	No
egyptianBat	near29		No	No	No	No	Yes
nectarBat	bulkrna107		No	Yes	No	No	No
horse	"annotated50,bulkrna107"	41	Yes	Yes	No	No	No
pig	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
minkeWhale	near29		No	No	No	No	Yes
bowheadWhale	bulkrna107		No	Yes	No	No	No
cow	"annotated50,bulkrna107,hahnscrna17"	42	Yes	Yes	Yes	No	No
sheep	hahnscrna17		No	No	Yes	No	No
cat	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
dog	"annotated50,bulkrna107,liscrna24"	43	Yes	Yes	No	Yes	No
ferret	"hahnscrna17,liscrna24"		No	No	Yes	Yes	No
treeShrew	hahnscrna17		No	No	Yes	No	No
guineapig	liscrna24		No	No	No	Yes	No
groundSquirrel	"annotated50,bulkrna107,hahnscrna17"	44	Yes	Yes	Yes	No	No
chipmunk	liscrna24		No	No	No	Yes	No
blindMoleRat	near29		No	No	No	No	Yes
zokor	bulkrna107		No	Yes	No	No	No
hamster	liscrna24		No	No	No	Yes	No
deerMouse	hahnscrna17		No	No	Yes	No	No
gerbil	liscrna24		No	No	No	Yes	No
sandRat	"annotated50,bulkrna107"	45	Yes	Yes	No	No	No
grassMouse	hahnscrna17		No	No	Yes	No	No
brownRat	"annotated50,bulkrna107,liscrna24"	46	Yes	Yes	No	Yes	No
labMouse	"annotated50,bulkrna107,hahnscrna17,liscrna24"	47	Yes	Yes	Yes	Yes	No
marmoset	"annotated50,bulkrna107,hahnscrna17"	48	Yes	Yes	Yes	No	No
nancymaMonkey	bulkrna107		No	Yes	No	No	No
oliveBaboon	bulkrna107		No	Yes	No	No	No
crabMacaque	"annotated50,bulkrna107,hahnscrna17,liscrna24"	49	Yes	Yes	Yes	Yes	No
rhesusMacaque	bulkrna107		No	Yes	No	No	No
human	"annotated50,bulkrna107,hahnscrna17,liscrna24"	50	Yes	Yes	Yes	Yes	No
