OrganismOrder149	ShortName	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	OrganismOrder50	Datasets	annotated50	bulkrna108	hahnscrna17	liscrna24
42	cod	cod	Gadus_morhua	Atlantic cod	Gadus morhua	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
43	tuna	tuna	Thunnus_albacares	Yellowfin tuna	Thunnus albacares	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
44	snakeheadFish	snakeheadFish	Channa_argus	Snakehead fish	Channa argus	Teleost ray-finned fishes		liscrna24	No	No	No	Yes
45	cichlid	cichlid	Archocentrus_centrarchus	Flier cichlid	Archocentrus centrarchus	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
46	tilapia	tilapia	Oreochromis_mossambicus	Mozambique tilapia	Oreochromis mossambicus	Teleost ray-finned fishes		liscrna24	No	No	No	Yes
47	peacockFish	peacockFish	Aulonocara_baenschi	Nkhomo-benga peacock	Aulonocara baenschi	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
48	triggerfish	triggerfish	Rhinecanthus_aculeatus	Lagoon triggerfish	Rhinecanthus aculeatus	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
49	giltheadBream	giltheadBream	Sparus_aurata	Gilt-head bream	Sparus aurata	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
50	bluegill	bluegill	Lepomis_macrochirus	Bluegill	Lepomis macrochirus	Teleost ray-finned fishes		bulkrna108	No	Yes	No	No
51	coelacanth	coelacanth	Latimeria_chalumnae	Coelacanth	Latimeria chalumnae	Lobe-finned fishes	19	annotated50	Yes	No	No	No
52	lungfish	lungfish	Protopterus_annectens	West African lungfish	Protopterus annectens	Lobe-finned fishes	20	annotated50	Yes	No	No	No
53	tinyCaecilian	tinyCaecilian	Microcaecilia_unicolor	Tiny Cayenne Caecilian	Microcaecilia unicolor	Amphibians	21	annotated50	Yes	No	No	No
54	twolinedCaecilian	twolinedCaecilian	Rhinatrema_bivittatum	Two-lined caecilian	Rhinatrema bivittatum	Amphibians	22	annotated50	Yes	No	No	No
55	chineseSalamander	chineseSalamander	Andrias_davidianus	Chinese giant salamander	Andrias davidianus	Amphibians		bulkrna108	No	Yes	No	No
56	axolotl	axolotl	Ambystoma_mexicanum	Axolotl	Ambystoma mexicanum	Amphibians		liscrna24	No	No	No	Yes
57	redSalamander	redSalamander	Plethodon_cinereus	Red-backed salamander	Plethodon cinereus	Amphibians		bulkrna108	No	Yes	No	No
58	himalayaFrog	himalayaFrog	Nanorana_parkeri	High Himalaya Frog	Nanorana parkeri	Amphibians	23	annotated50	Yes	No	No	No
59	frog	westernFrog	Xenopus_tropicalis	Western clawed frog	Xenopus tropicalis	Amphibians	24	"annotated50,bulkrna108"	Yes	Yes	No	No
60	africanFrog	africanFrog	Xenopus_laevis	African clawed frog	Xenopus laevis	Amphibians	25	"annotated50,bulkrna108"	Yes	Yes	No	No
61	tokayGecko	tokayGecko	Gekko_gecko	Tokay gecko	Gekko gecko	Squamata (lizards and snakes)		bulkrna108	No	Yes	No	No
62	gecko	japaneseGecko	Gekko_japonicus	Japanese gecko	Gekko japonicus	Squamata (lizards and snakes)	26	annotated50	Yes	No	No	No
63	sandLizard	sandLizard	Lacerta_agilis	Sand lizard	Lacerta agilis	Squamata (lizards and snakes)	27	annotated50	Yes	No	No	No
64	tawnyDragon	tawnyDragon	Ctenophorus_decresii	Tawny crevice-dragon	Ctenophorus decresii	Squamata (lizards and snakes)		bulkrna108	No	Yes	No	No
65	dragon	beardedDragon	Pogona_vitticeps	Bearded dragon	Pogona vitticeps	Squamata (lizards and snakes)	28	"annotated50,liscrna24"	Yes	No	No	Yes
66	greenAnole	greenAnole	Anolis_carolinensis	Green anole lizard	Anolis carolinensis	Squamata (lizards and snakes)	29	"annotated50,bulkrna108"	Yes	Yes	No	No
67	brownAnole	brownAnole	Anolis_sagrei	Brown anole lizard 	Anolis sagrei	Squamata (lizards and snakes)	30	"annotated50,hahnscrna17"	Yes	No	Yes	No
68	python	python	Python_bivittatus	Burmese python	Python bivittatus	Squamata (lizards and snakes)	31	annotated50	Yes	No	No	No
69	cobra	cobra	Naja_naja	Indian cobra	Naja naja	Squamata (lizards and snakes)		bulkrna108	No	Yes	No	No
70	snake	garterSnake	Thamnophis_sirtalis	Common garter snake	Thamnophis sirtalis	Squamata (lizards and snakes)	32	"annotated50,bulkrna108"	Yes	Yes	No	No
71	cornSnake	cornSnake	Pantherophis_guttatus	Corn snake	Pantherophis guttatus	Squamata (lizards and snakes)		liscrna24	No	No	No	Yes
72	greenTurtle	greenTurtle	Chelonia_mydas	Green turtle	Chelonia mydas	Turtles	33	annotated50	Yes	No	No	No
73	turtle	redTurtle	Trachemys_scripta	Red-eared slider turtle	Trachemys scripta elegans	Turtles		liscrna24	No	No	No	Yes
74	alligator	americanAlligator	Alligator_mississippiensis	American alligator	Alligator mississippiensis	Crocodiles	34	"annotated50,bulkrna108"	Yes	Yes	No	No
75	chineseAlligator	chineseAlligator	Alligator_sinensis	Chinese alligator	Alligator sinensis	Crocodiles	35	annotated50	Yes	No	No	No
76	emu	emu	Dromaius_novaehollandiae	Emu	Dromaius novaehollandiae	Birds		bulkrna108	No	Yes	No	No
77	ostrich	ostrich	Struthio_camelus	Common ostrich	Struthio camelus	Birds		bulkrna108	No	Yes	No	No
78	duck	mallardDuck	Anas_platyrhynchos	Duck	Anas platyrhynchos	Birds		liscrna24	No	No	No	Yes
79	muscovyDuck	muscovyDuck	Cairina_moschata	Muscovy duck	Cairina moschata	Birds		bulkrna108	No	Yes	No	No
80	quail	quail	Coturnix_japonica	Japanese quail	Coturnix japonica	Birds	36	"annotated50,bulkrna108"	Yes	Yes	No	No
81	chicken	chicken	Gallus_gallus	Chicken	Gallus gallus domesticus	Birds	37	"annotated50,bulkrna108,hahnscrna17,liscrna24"	Yes	Yes	Yes	Yes
82	redStreamertail	redStreamertail	Trochilus_polytmus	Red-billed streamertail	Trochilus polytmus	Birds		bulkrna108	No	Yes	No	No
83	blackStreamertail	blackStreamertail	Trochilus_scitulus	Black-billed streamertail	Trochilus scitulus	Birds		bulkrna108	No	Yes	No	No
84	hybridStreamertail	hybridStreamertail	Trochilus_hybrid	Hybrid streamertail	Trochilus hybrid	Birds		bulkrna108	No	Yes	No	No
85	pigeon	pigeon	Columba_livia	Rock dove	Columba livia	Birds	38	"annotated50,bulkrna108"	Yes	Yes	No	No
86	vulture	vulture	Aegypius_monachus	Cinereous vulture	Aegypius monachus	Birds		bulkrna108	No	Yes	No	No
87	kite	kite	Elanus_caeruleus	Black-winged kite	Elanus caeruleus	Birds		bulkrna108	No	Yes	No	No
88	harrier	harrier	Circus_melanoleucos	Pied harrier	Circus melanoleucos	Birds		bulkrna108	No	Yes	No	No
89	buzzard	buzzard	Butastur_indicus	Grey-faced buzzard	Butastur indicus	Birds		bulkrna108	No	Yes	No	No
90	redTailHawk	redTailHawk	Buteo_jamaicensis	Red-tailed hawk	Buteo jamaicensis	Birds		bulkrna108	No	Yes	No	No
91	coopersHawk	coopersHawk	Accipiter_cooperii	Cooper's hawk	Accipiter cooperii	Birds		bulkrna108	No	Yes	No	No
92	besra	besra	Accipiter_virgatus	Besra	Accipiter virgatus	Birds		bulkrna108	No	Yes	No	No
93	barnOwl	barnOwl	Tyto_alba	Barn owl	Tyto alba	Birds		bulkrna108	No	Yes	No	No
94	grassOwl	grassOwl	Tyto_longimembris	Eastern grass owl	Tyto longimembris	Birds		bulkrna108	No	Yes	No	No
95	borealOwl	borealOwl	Aegolius_funereus	Boreal owl	Aegolius funereus	Birds		bulkrna108	No	Yes	No	No
96	littleOwl	littleOwl	Athene_noctua	Little owl	Athene noctua	Birds		bulkrna108	No	Yes	No	No
97	eurasianScopsOwl	eurasianScopsOwl	Otus_scops	Eurasian scops owl	Otus scops	Birds		bulkrna108	No	Yes	No	No
98	indianScopsOwl	indianScopsOwl	Otus_bakkamoena	Indian scops owl	Otus bakkamoena	Birds		bulkrna108	No	Yes	No	No
99	shortEarOwl	shortearOwl	Asio_flammeus	Short-eared owl	Asio flammeus	Birds		bulkrna108	No	Yes	No	No
100	longEarOwl	longearOwl	Asio_otus	Long-eared owl	Asio otus	Birds		bulkrna108	No	Yes	No	No
101	screechOwl	screechOwl	Megascops_asio	Eastern screech owl	Megascops asio	Birds		bulkrna108	No	Yes	No	No
102	barredOwl	barredOwl	Strix_varia	Barred owl	Strix varia	Birds		bulkrna108	No	Yes	No	No
103	tawnyOwl	tawnyOwl	Strix_aluco	Tawny owl	Strix aluco	Birds		bulkrna108	No	Yes	No	No
104	eagleOwl	eagleOwl	Bubo_bubo	Eurasian eagle-owl	Bubo bubo	Birds		bulkrna108	No	Yes	No	No
105	hornedOwl	hornedOwl	Bubo_virginianus	Great horned owl	Bubo virginianus	Birds		bulkrna108	No	Yes	No	No
106	hoopoe	hoopoe	Upupa_epops	Eurasian hoopoe	Upupa epops	Birds		bulkrna108	No	Yes	No	No
107	woodpecker	woodpecker	Picus_canus	Grey-headed woodpecker	Picus canus	Birds		bulkrna108	No	Yes	No	No
108	budgerigar	budgerigar	Melopsittacus_undulatus	Budgerigar	Melopsittacus undulatus	Birds		"bulkrna108,liscrna24"	No	Yes	No	Yes
109	commonKestrel	commonKestrel	Falco_tinnunculus	Common kestrel	Falco tinnunculus	Birds		bulkrna108	No	Yes	No	No
