SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Mizuhopecten_yessoensis_1	MIYE1	1	SRA	PE	Mizuhopecten_yessoensis	3		PRJNA259405	SRR4415812	SAMN05915721	SRX2238794	Wang_Bao_2017_ScallopGenomeProvides	https://doi.org/10.1038/s41559-017-0120
Mizuhopecten_yessoensis_2	MIYE2	2	SRA	PE	Mizuhopecten_yessoensis	3		PRJNA259405	SRR4415811	SAMN05915721	SRX2238793	Wang_Bao_2017_ScallopGenomeProvides	https://doi.org/10.1038/s41559-017-0120
Monodelphis_domestica_0	MODO0	0	SRA	PE	Monodelphis_domestica	1		PRJNA200320	SRR915908	SAMN02169186	SRX312221	NoReferencePaper	
Mordacia_mordax_0	MOMO0	0	SRA	PE	Mordacia_mordax	1		PRJNA292033	SRR2146922	SAMN03960120	SRX1134586	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Motacilla_alba_0	MOAL0	0	SRA	PE	Motacilla_alba	1		PRJNA662706	SRR12641448	SAMN16132659	SRX9123506	Mitochondrial	
Mus_musculus_0	MUMU0	0	NNRL	SE	Mus_musculus	3	R12009-001						
Mus_musculus_1	MUMU1	1	NNRL	SE	Mus_musculus	3	R12010-008						
Mus_musculus_2	MUMU2	2	NNRL	SE	Mus_musculus	3	R12010-009						
Mus_musculus_3	MUMU3	3	NNRL	PE	Mus_musculus	3	AskMatthew						
Mus_musculus_4	MUMU4	4	NNRL	PE	Mus_musculus	3	AskMatthew						
Mus_musculus_5	MUMU5	5	NNRL	PE	Mus_musculus	3	AskMatthew						
Myospalax_baileyi_0	MYBA0	0	SRA	PE	Myospalax_baileyi	1		PRJNA282349	SRR3036368	SAMN03568806	SRX1009939	Shao_Zhang_2015_GeneticAdaptationsPlateau	https://doi.org/10.1038/srep17262
Myotis_laniger_0	MYLA0	0	SRA	PE	Myotis_laniger	1		PRJNA255191	SRR1515273	SAMN02911652	SRX652876	NoReferencePaper	
Naja_naja_0	NANA0	0	SRA	SE	Naja_naja	1		PRJNA527614	SRR8754978	SAMN11168463	SRX5545701	Suryamohan_Seshagiri_2020_IndianCobraReference	https://doi.org/10.1038/s41588-019-0559-8
Neotrygon_kuhlii_0	NEKU0	0	SRA	PE	Neotrygon_kuhlii	1		PRJNA292033	SRR2146930	SAMN03960123	SRX1134591	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Nephrops_norvegicus_0	NENO0	0	SRA	PE	Nephrops_norvegicus	2		PRJNA293452	SRR2388448	SAMN04003013	SRX1257754	Sbragaglia_Aguzzi_2015_IdentificationCharacterizationDiel	https://doi.org/10.1371/journal.pone.0141893
