SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Carcharhinus_amblyrhynchos_0	CAAM0	0	SRA	PE	Carcharhinus_amblyrhynchos	1		PRJNA292033	SRR2146929	SAMN03960122 	SRX1134590	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Chiloscyllium_punctatum_0	CHPU0	0	SRA	SE	Chiloscyllium_punctatum	3		PRJDB6260	DRR111741	SAMD00098952	DRX104808	NoReferencePaper	
Chiloscyllium_punctatum_1	CHPU1	1	SRA	PE	Chiloscyllium_punctatum	3		PRJDB6260	DRR111719	SAMD00098931	DRX104786	NoReferencePaper	
Chiloscyllium_punctatum_2	CHPU2	2	SRA	PE	Chiloscyllium_punctatum	3		PRJNA292033	SRR2146928	SAMN03960121	SRX1134589	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Ciona_intestinalis_0	CIIN0	0	Mine	PE	Ciona_intestinalis	1	R42019-297						
Circus_melanoleucos_0	CIME0	0	SRA	PE	Circus_melanoleucos	1		PRJNA314290	SRR3203217	SAMN04531182	SRX1612720	NoReferencePaper	
Columba_livia_0	COLI0	0	Mine	PE	Columba_livia	4	R42019-275						
Columba_livia_1	COLI1	1	Mine	PE	Columba_livia	4	R42019-274						
Columba_livia_2	COLI2	2	Mine	PE	Columba_livia	4	R42019-273						
Columba_livia_3	COLI3	3	SRA	PE	Columba_livia	4		PRJNA167554	SRR5878856	SAMN07417937	SRX3046080	Shapiro_Wang_2013_GenomicDiversityEvolution	https://doi.org/10.1126/science.1230422
Corvus_cornix_0	COCX0	0	SRA	PE	Corvus_cornix	3		PRJNA192205	SRR1928171	SAMN02997751	SRX967626	Poelstra_Wolf_2014_GenomicLandscapeUnderlying;Weissensteiner_Wolf_2017_CombinationShortreadLongread	10.1101/gr.215095.116;https://doi.org/10.1126/science.1253226
Corvus_cornix_1	COCX1	1	SRA	PE	Corvus_cornix	3		PRJNA192205	SRR2107367	SAMN03890353	SRX1101160	Poelstra_Wolf_2014_GenomicLandscapeUnderlying;Weissensteiner_Wolf_2017_CombinationShortreadLongread	10.1101/gr.215095.116;https://doi.org/10.1126/science.1253226
Corvus_cornix_2	COCX2	2	SRA	PE	Corvus_cornix	3		PRJNA192205	SRR1947388	SAMN02997747	SRX973953	Poelstra_Wolf_2014_GenomicLandscapeUnderlying;Weissensteiner_Wolf_2017_CombinationShortreadLongread	10.1101/gr.215095.116;https://doi.org/10.1126/science.1253226
Corvus_corone_0	COCR0	0	SRA	PE	Corvus_corone	3		PRJNA192205	SRR2107343	SAMN03890349	SRX1101125	Poelstra_Wolf_2014_GenomicLandscapeUnderlying;Weissensteiner_Wolf_2017_CombinationShortreadLongread	10.1101/gr.215095.116;https://doi.org/10.1126/science.1253226
Corvus_corone_1	COCR1	1	SRA	PE	Corvus_corone	3		PRJNA192205	SRR2106782	SAMN03890330	SRX1100650	Poelstra_Wolf_2014_GenomicLandscapeUnderlying;Weissensteiner_Wolf_2017_CombinationShortreadLongread	10.1101/gr.215095.116;https://doi.org/10.1126/science.1253226
Corvus_corone_2	COCR2	2	SRA	PE	Corvus_corone	3		PRJNA192205	SRR1947392	SAMN02997743	SRX973957	Poelstra_Wolf_2014_GenomicLandscapeUnderlying;Weissensteiner_Wolf_2017_CombinationShortreadLongread	10.1101/gr.215095.116;https://doi.org/10.1126/science.1253226
Coturnix_japonica_0	COJA0	0	Mine	PE	Coturnix_japonica	3	R42019-248						
Coturnix_japonica_1	COJA1	1	Mine	PE	Coturnix_japonica	3	R42019-249						
Coturnix_japonica_2	COJA2	2	Mine	PE	Coturnix_japonica	3	R42019-247						
Ctenophorus_decresii_0	CTDE0	0	SRA	PE	Ctenophorus_decresii	2		PRJNA478483	SRR7453168	SAMN09518505	SRX4323682	NoReferencePaper	
Ctenophorus_decresii_1	CTDE1	1	SRA	PE	Ctenophorus_decresii	2		PRJNA478483	SRR7453174	SAMN09518506	SRX4323679	NoReferencePaper	
Cynopterus_sphinx_0	CYSP0	0	SRA	PE	Cynopterus_sphinx	1		PRJNA255191	SRR1515274	SAMN02911653	SRX652877	NoReferencePaper	
Danio_rerio_0	DARE0	0	NNRL	PE	Danio_rerio	3	R42017-233						
Danio_rerio_1	DARE1	1	NNRL	PE	Danio_rerio	3	R42017-234						
Danio_rerio_2	DARE2	2	NNRL	PE	Danio_rerio	3	R42017-235						
Dromaius_novaehollandiae_0	DRNO0	0	SRA	PE	Dromaius_novaehollandiae	1		PRJNA437520	SRR6820423	SAMN08667385	SRX3777270	NoReferencePaper	
Drosophila_melanogaster_0	DRME0	0	SRA	PE	Drosophila_melanogaster	4		PRJEB22205	ERR2617947	SAMEA4715952	ERX2634554	Leader_Dow_2018_FlyAtlas2New	https://doi.org/10.1093/nar/gkx976
Drosophila_melanogaster_1	DRME1	1	SRA	PE	Drosophila_melanogaster	4		PRJEB22205	ERR2617945	SAMEA4715950	ERX2634552	Leader_Dow_2018_FlyAtlas2New	https://doi.org/10.1093/nar/gkx976
Drosophila_melanogaster_2	DRME2	2	SRA	PE	Drosophila_melanogaster	4		PRJEB22205	ERR2617944	SAMEA4715949	ERX2634551	Leader_Dow_2018_FlyAtlas2New	https://doi.org/10.1093/nar/gkx976
Drosophila_melanogaster_3	DRME3	3	SRA	PE	Drosophila_melanogaster	4		PRJEB22205	ERR2617946	SAMEA4715951	ERX2634553	Leader_Dow_2018_FlyAtlas2New	https://doi.org/10.1093/nar/gkx976
Elanus_caeruleus_0	ELCA0	0	SRA	PE	Elanus_caeruleus	1		PRJNA314290	SRR3203227	SAMN04531378	SRX1612730	NoReferencePaper	
Electrona_risso_0	ELRI0	0	SRA	PE	Electrona_risso	1		PRJNA421052	SRR8242442	SAMN10473266	SRX5060680	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Eonycteris_spelaea_0	EOSP0	0	SRA	PE	Eonycteris_spelaea	1		PRJNA255191	SRR1515272	SAMN02911651	SRX652846	NoReferencePaper	
Eptatretus_cirrhatus_0	EPCI0	0	SRA	PE	Eptatretus_cirrhatus	5		PRJNA292033	SRR2146913	SAMN03960113	SRX1134574	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Eptatretus_cirrhatus_1	EPCI1	1	SRA	PE	Eptatretus_cirrhatus	5		PRJNA292033	SRR2146916	SAMN03960116	SRX1134577	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Eptatretus_cirrhatus_2	EPCI2	2	SRA	PE	Eptatretus_cirrhatus	5		PRJNA292033	SRR2146912	SAMN03960112	SRX1134573	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Eptatretus_cirrhatus_3	EPCI3	3	SRA	PE	Eptatretus_cirrhatus	5		PRJNA292033	SRR2146914	SAMN03960114	SRX1134575	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Eptatretus_cirrhatus_4	EPCI4	4	SRA	PE	Eptatretus_cirrhatus	5		PRJNA292033	SRR2146915	SAMN03960115	SRX1134576	Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095
Equus_caballus_0	EQCA0	0	SRA	PE	Equus_caballus	2		PRJEB26787	ERR258420 (ERR2584206+ERR2584207)	SAMEA104728805	ERX2600987	Heath_Finno_2025_ComprehensiveAlleleSpecific	https://doi.org/10.1186/s12864-025-11240-6
Equus_caballus_1	EQCA1	1	SRA	PE	Equus_caballus	2		PRJEB26787	ERR258415 (ERR2584154+ERR2584155)	SAMEA104728763	ERX2600986	Heath_Finno_2025_ComprehensiveAlleleSpecific	https://doi.org/10.1186/s12864-025-11240-6
Esox_lucius_0	ESLU0	0	SRA	PE	Esox_lucius	2		PRJNA421052	SRR8242440	SAMN10473268	SRX5060682	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Esox_lucius_1	ESLU1	1	SRA	PE	Esox_lucius	2		PRJNA421052	SRR8242439	SAMN10473269	SRX5060683	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Euprymna_scolopes_0	EUSC0	0	SRA	PE	Euprymna_scolopes	3		PRJNA498343	SRR8159247	SAMN10290260	SRX4980115	Moriano-Gutierrez_McFall-Ngai_2019_CriticalSymbiontSignals	https://doi.org/10.1073/pnas.1819897116
Euprymna_scolopes_1	EUSC1	1	SRA	PE	Euprymna_scolopes	3		PRJNA498343	SRR8159245	SAMN10290259	SRX4980117	Moriano-Gutierrez_McFall-Ngai_2019_CriticalSymbiontSignals	https://doi.org/10.1073/pnas.1819897116
Euprymna_scolopes_2	EUSC2	2	SRA	PE	Euprymna_scolopes	3		PRJNA498343	SRR8159235	SAMN10290261	SRX4980127	Moriano-Gutierrez_McFall-Ngai_2019_CriticalSymbiontSignals	https://doi.org/10.1073/pnas.1819897116
Falco_subbuteo_0	FASU0	0	SRA	PE	Falco_subbuteo	1		PRJNA314290	SRR3203238	SAMN04531384	SRX1612742	NoReferencePaper	
Falco_tinnunculus_0	FATI0	0	SRA	PE	Falco_tinnunculus	1		PRJNA314290	SRR3203231	SAMN04531380	SRX1612734	NoReferencePaper	
Felis_catus_0	FECA0	0	SRA	PE	Felis_catus	2		PRJNA312519	SRR3200457	SAMN04498538	SRX1610310	Visser_Merritt_2019_IdentificationQuantificationDomestic	https://doi.org/10.1111/jvp.12708
Felis_catus_1	FECA1	1	SRA	PE	Felis_catus	2		PRJNA312519	SRR3200465	SAMN04498540	SRX1610318	Visser_Merritt_2019_IdentificationQuantificationDomestic	https://doi.org/10.1111/jvp.12708
Gadus_morhua_0	GAMO0	0	SRA	PE	Gadus_morhua	1		PRJNA421052	SRR8242438	SAMN10473270	SRX5060684	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Gallus_gallus_0	GAGA0	0	NNRL	SE	Gallus_gallus	3	R22011-042						
Gallus_gallus_1	GAGA1	1	NNRL	SE	Gallus_gallus	3	R22011-043						
Gallus_gallus_2	GAGA2	2	NNRL	SE	Gallus_gallus	3	R22011-044						
