OrganismShortName	Dataset	SampleID	GSM	SampleCode	BarCode	Feature	Matrix
budgerigar	liscrna24	budgerigar_li_1	GSM8246605	Melopsittacus_undulatus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246605&format=file&file=GSM8246605%5FMelopsittacus%5Fundulatus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246605&format=file&file=GSM8246605%5FMelopsittacus%5Fundulatus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246605&format=file&file=GSM8246605%5FMelopsittacus%5Fundulatus%5Fmatrix%2Emtx%2Egz
canary	liscrna24	canary_li_1	GSM8246603	Serinus_canaria	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246603&format=file&file=GSM8246603%5FSerinus%5Fcanaria%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246603&format=file&file=GSM8246603%5FSerinus%5Fcanaria%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246603&format=file&file=GSM8246603%5FSerinus%5Fcanaria%5Fmatrix%2Emtx%2Egz
africanHedgehog	liscrna24	africanHedgehog_li_1	GSM8246600	Hedgehog	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246600&format=file&file=GSM8246600%5FHedgehog%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246600&format=file&file=GSM8246600%5FHedgehog%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246600&format=file&file=GSM8246600%5FHedgehog%5Fmatrix%2Emtx%2Egz
pig	liscrna24	pig_li_1	GSM8246593	Pig	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246593&format=file&file=GSM8246593%5FPig%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246593&format=file&file=GSM8246593%5FPig%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246593&format=file&file=GSM8246593%5FPig%5Fmatrix%2Emtx%2Egz
cat	liscrna24	cat_li_1	GSM8246607	Felis_catus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246607&format=file&file=GSM8246607%5FFelis%5Fcatus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246607&format=file&file=GSM8246607%5FFelis%5Fcatus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246607&format=file&file=GSM8246607%5FFelis%5Fcatus%5Fmatrix%2Emtx%2Egz
dog	liscrna24	dog_li_1	GSM8246608	Canis_lupus_familiaris	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246608&format=file&file=GSM8246608%5FCanis%5Flupus%5Ffamiliaris%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246608&format=file&file=GSM8246608%5FCanis%5Flupus%5Ffamiliaris%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246608&format=file&file=GSM8246608%5FCanis%5Flupus%5Ffamiliaris%5Fmatrix%2Emtx%2Egz
ferret	liscrna24	ferret_li_1	GSM8246598	Ferret	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246598&format=file&file=GSM8246598%5FFerret%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246598&format=file&file=GSM8246598%5FFerret%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246598&format=file&file=GSM8246598%5FFerret%5Fmatrix%2Emtx%2Egz
guineapig	liscrna24	guineapig_li_1	GSM8246587	Cavia_porcellus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246587&format=file&file=GSM8246587%5FCavia%5Fporcellus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246587&format=file&file=GSM8246587%5FCavia%5Fporcellus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246587&format=file&file=GSM8246587%5FCavia%5Fporcellus%5Fmatrix%2Emtx%2Egz
chipmunk	liscrna24	chipmunk_li_1	GSM8246606	Tamias_sibiricus	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246606&format=file&file=GSM8246606%5FTamias%5Fsibiricus%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246606&format=file&file=GSM8246606%5FTamias%5Fsibiricus%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246606&format=file&file=GSM8246606%5FTamias%5Fsibiricus%5Fmatrix%2Emtx%2Egz
hamster	liscrna24	hamster_li_1	GSM8246590	Golden_hamster	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246590&format=file&file=GSM8246590%5FGolden%5Fhamster%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246590&format=file&file=GSM8246590%5FGolden%5Fhamster%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246590&format=file&file=GSM8246590%5FGolden%5Fhamster%5Fmatrix%2Emtx%2Egz
gerbil	liscrna24	gerbil_li_1	GSM8246602	Gerbillinae	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246602&format=file&file=GSM8246602%5FGerbillinae%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246602&format=file&file=GSM8246602%5FGerbillinae%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246602&format=file&file=GSM8246602%5FGerbillinae%5Fmatrix%2Emtx%2Egz
brownRat	liscrna24	brownRat_li_1	GSM8246599	Rat	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246599&format=file&file=GSM8246599%5FRat%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246599&format=file&file=GSM8246599%5FRat%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246599&format=file&file=GSM8246599%5FRat%5Fmatrix%2Emtx%2Egz
labMouse	liscrna24	labMouse_li_2	GSM8246596	C57_BL_6_2	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246596&format=file&file=GSM8246596%5FC57%5FBL%5F6%5F2%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246596&format=file&file=GSM8246596%5FC57%5FBL%5F6%5F2%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246596&format=file&file=GSM8246596%5FC57%5FBL%5F6%5F2%5Fmatrix%2Emtx%2Egz
labMouse	liscrna24	labMouse_li_1	GSM8246597	C57_BL_6_1	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246597&format=file&file=GSM8246597%5FC57%5FBL%5F6%5F1%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246597&format=file&file=GSM8246597%5FC57%5FBL%5F6%5F1%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246597&format=file&file=GSM8246597%5FC57%5FBL%5F6%5F1%5Fmatrix%2Emtx%2Egz
crabMacaque	liscrna24	crabMacaque_li_1	GSM8246592	Monkey	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246592&format=file&file=GSM8246592%5FMonkey%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246592&format=file&file=GSM8246592%5FMonkey%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246592&format=file&file=GSM8246592%5FMonkey%5Fmatrix%2Emtx%2Egz
human	liscrna24	human_li_1	GSM8246610	human	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246610&format=file&file=GSM8246610%5Fhuman%5Fbarcodes%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246610&format=file&file=GSM8246610%5Fhuman%5Ffeatures%2Etsv%2Egz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8246610&format=file&file=GSM8246610%5Fhuman%5Fmatrix%2Emtx%2Egz
