OrganismShortName	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	hahnscrna17	liscrna24	near29
harrier	No	bulkrna107		No	Yes	No	No	No
greyfacedBuzzard	No	bulkrna107		No	Yes	No	No	No
commonBuzzard	No	near29		No	No	No	No	Yes
redTailHawk	No	bulkrna107		No	Yes	No	No	No
gosHwak	No	near29		No	No	No	No	Yes
coopersHawk	No	bulkrna107		No	Yes	No	No	No
besra	No	bulkrna107		No	Yes	No	No	No
sparrowHawk	Yes	near29		No	No	No	No	Yes
barnOwl	Yes	bulkrna107		No	Yes	No	No	No
grassOwl	No	bulkrna107		No	Yes	No	No	No
borealOwl	No	bulkrna107		No	Yes	No	No	No
littleOwl	No	bulkrna107		No	Yes	No	No	No
orientalScopsOwl	No	near29		No	No	No	No	Yes
eurasianScopsOwl	No	bulkrna107		No	Yes	No	No	No
indianScopsOwl	No	bulkrna107		No	Yes	No	No	No
shortearOwl	No	bulkrna107		No	Yes	No	No	No
longearOwl	No	bulkrna107		No	Yes	No	No	No
screechOwl	No	bulkrna107		No	Yes	No	No	No
barredOwl	No	bulkrna107		No	Yes	No	No	No
uralOwl	No	near29		No	No	No	No	Yes
tawnyOwl	No	bulkrna107		No	Yes	No	No	No
eagleOwl	No	bulkrna107		No	Yes	No	No	No
hornedOwl	No	bulkrna107		No	Yes	No	No	No
mousebird	No	near29		No	No	No	No	Yes
hoopoe	No	bulkrna107		No	Yes	No	No	No
honeyguide	No	near29		No	No	No	No	Yes
woodpecker	No	bulkrna107		No	Yes	No	No	No
budgerigar	Yes	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
commonKestrel	No	bulkrna107		No	Yes	No	No	No
peregrineFalcon	No	near29		No	No	No	No	Yes
eurasianHobby	No	bulkrna107		No	Yes	No	No	No
hawaiianCrow	No	near29		No	No	No	No	Yes
carrionCrow	No	bulkrna107		No	Yes	No	No	No
hoodedCrow	No	bulkrna107		No	Yes	No	No	No
whiteWagtail	No	bulkrna107		No	Yes	No	No	No
canary	No	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
zebrafinch	Yes	bulkrna107		No	Yes	No	No	No
platypus	Yes	annotated50	39	Yes	No	No	No	No
opossum	Yes	"annotated50,bulkrna107,hahnscrna17"	40	Yes	Yes	Yes	No	No
europeanHedgehog	No	near29		No	No	No	No	Yes
africanHedgehog	No	liscrna24		No	No	No	Yes	No
sacwingedBat	No	near29		No	No	No	No	Yes
tombBat	No	bulkrna107		No	Yes	No	No	No
daubentonBat	No	near29		No	No	No	No	Yes
myotisBat	No	bulkrna107		No	Yes	No	No	No
roundleafBat	Yes	bulkrna107		No	Yes	No	No	No
fruitBat	No	bulkrna107		No	Yes	No	No	No
egyptianBat	No	near29		No	No	No	No	Yes
nectarBat	No	bulkrna107		No	Yes	No	No	No
horse	Yes	"annotated50,bulkrna107"	41	Yes	Yes	No	No	No
pig	No	"bulkrna107,liscrna24,hahnscrna17"		No	Yes	Yes	Yes	No
minkeWhale	No	near29		No	No	No	No	Yes
bowheadWhale	No	bulkrna107		No	Yes	No	No	No
cow	Yes	"annotated50,bulkrna107,hahnscrna17"	42	Yes	Yes	Yes	No	No
sheep	No	hahnscrna17		No	No	Yes	No	No
cat	No	"bulkrna107,liscrna24"		No	Yes	No	Yes	No
dog	Yes	"annotated50,bulkrna107,liscrna24"	43	Yes	Yes	No	Yes	No
ferret	No	"hahnscrna17,liscrna24"		No	No	Yes	Yes	No
treeShrew	No	hahnscrna17		No	No	Yes	No	No
guineapig	No	liscrna24		No	No	No	Yes	No
groundSquirrel	No	"annotated50,bulkrna107,hahnscrna17"	44	Yes	Yes	Yes	No	No
chipmunk	No	liscrna24		No	No	No	Yes	No
blindMoleRat	No	near29		No	No	No	No	Yes
zokor	No	bulkrna107		No	Yes	No	No	No
hamster	No	liscrna24		No	No	No	Yes	No
deerMouse	No	hahnscrna17		No	No	Yes	No	No
gerbil	No	liscrna24		No	No	No	Yes	No
sandRat	Yes	"annotated50,bulkrna107"	45	Yes	Yes	No	No	No
brownRat	No	"annotated50,bulkrna107,liscrna24"	46	Yes	Yes	No	Yes	No
grassMouse	No	hahnscrna17		No	No	Yes	No	No
labMouse	Yes	"annotated50,bulkrna107,hahnscrna17,liscrna24"	47	Yes	Yes	Yes	Yes	No
marmoset	Yes	"annotated50,bulkrna107,hahnscrna17"	48	Yes	Yes	Yes	No	No
nancymaMonkey	No	bulkrna107		No	Yes	No	No	No
oliveBaboon	No	bulkrna107		No	Yes	No	No	No
crabMacaque	Yes	"annotated50,bulkrna107,hahnscrna17,liscrna24"	49	Yes	Yes	Yes	Yes	No
rhesusMacaque	No	bulkrna107		No	Yes	No	No	No
human	Yes	"annotated50,bulkrna107,hahnscrna17,liscrna24"	50	Yes	Yes	Yes	Yes	No
