SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismSerial	OrganismID	OrganismName	CommonName	Category	NumberSamples	Habitat	Nocturnality	NumMacula	NumFovea	NumFoveola	GenomeAvailable	AnnotationAvailable	ZoonomiaPresence	Order	Genus	Species	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_Downloaded	SRA_BioSampleID	SRA_ExperimentID	Notes	Life stage	Sex	NocturnalityComments	GenomeAssemblyENSEMBL	GenomeAccessionENSEMBL	GenusAlternativeENSEMBL	GenomeNCBI	GenomeAccessionNCBI	GenomeAssemblyNCBI	GenomeENSEMBL	AnnotationNCBI	AnnotationENSEMBL	GenomeZoonomia	AnnotationZoonomia	ZoonomiaComment	EarlyChordateSet	SpeciesCode	ActualOrganismID	source	gtf_url	cds_url	ReferencePaper	DOI	GenomeAnnotationInRefPaper
Aotus_nancymaae_0	AONA0	0	SRA	PE	104	Aotus_nancymaae	Aotus nancymaae	Nancy Ma's night monkey	Mammal	1		Nocturnal				Species	Species	Species	Primates	Aotus	nancymaae		PRJNA280454	SRR1981991		SAMN03464295	SRX1000889				"https://animaldiversity.org/accounts/Aotus_nancymaae/#:~:text=Because%20of%20the%20nocturnal%20nature,1999%2C%20Moynihan%2C%201976)."	Anan_2.0	GCA_000952055.2		Species	GCF_000952055.2	Anan_2.0	Species	Species	Species	Species	Species			mananc					NoReferencePaper		
Myospalax_baileyi_0	MYBA0	0	SRA	PE	98	Myospalax_baileyi	Myospalax baileyi	Zokor	Mammal	1		Unknown				No	No		Rodentia	Myospalax	baileyi		PRJNA282349	SRR3036368		SAMN03568806	SRX1009939	Species name confusion							No			No	No	No					mmbail					Shao_Zhang_2015_GeneticAdaptationsPlateau	https://doi.org/10.1038/srep17262	
Octopus_bimaculoides_0	OCBI0	0	SRA	PE	6	Octopus_bimaculoides	Octopus bimaculoides	California two-spot octopus	Mollusc	1		Nocturnal				Species	Species		Octopoda	Octopus	bimaculoides		PRJNA285380	SRR2047116		SAMN03744434	SRX1045414				"https://caseagrant.ucsd.edu/seafood-profiles/california-two-spot-octopus#:~:text=Highly%20developed%20eyes%20support%20its,%2C%20sea%20lions%2C%20and%20humans."				Species	GCF_001194135.2	ASM119413v2	No	Species	No				x	mobima					Albertin_Rokhsar_2015_OctopusGenomeEvolution	https://doi.org/10.1038/nature14668	
Eptatretus_cirrhatus_2	EPCI2	2	SRA	PE	11	Eptatretus_cirrhatus	Eptatretus cirrhatus	Broadgilled hagfish	Hagfish	5		Nocturnal				Genus	Genus		Myxiniformes	Eptatretus	cirrhatus		PRJNA292033	SRR2146912		SAMN03960112	SRX1134573	Both eyes			http://genomewiki.ucsc.edu/index.php/Opsin_evolution:_key_critters_(deuterostomes)	Eburgeri_3.2	GCA_900186335.2	Eptatretus burgeri	Genus			Genus	No	Genus				x	hecirr					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Eptatretus_cirrhatus_0	EPCI0	0	SRA	PE	11	Eptatretus_cirrhatus	Eptatretus cirrhatus	Broadgilled hagfish	Hagfish	5		Nocturnal				Genus	Genus		Myxiniformes	Eptatretus	cirrhatus		PRJNA292033	SRR2146913		SAMN03960113	SRX1134574	Both eyes			http://genomewiki.ucsc.edu/index.php/Opsin_evolution:_key_critters_(deuterostomes)	Eburgeri_3.2	GCA_900186335.2	Eptatretus burgeri	Genus			Genus	No	Genus				x	hecirr					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Eptatretus_cirrhatus_3	EPCI3	3	SRA	PE	11	Eptatretus_cirrhatus	Eptatretus cirrhatus	Broadgilled hagfish	Hagfish	5		Nocturnal				Genus	Genus		Myxiniformes	Eptatretus	cirrhatus		PRJNA292033	SRR2146914		SAMN03960114	SRX1134575	Both eyes			http://genomewiki.ucsc.edu/index.php/Opsin_evolution:_key_critters_(deuterostomes)	Eburgeri_3.2	GCA_900186335.2	Eptatretus burgeri	Genus			Genus	No	Genus				x	hecirr					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Coturnix_japonica_0	COJA0	0	Mine	PE	51	Coturnix_japonica	Coturnix japonica	Japanese quail	Bird	3		Diurnal				Species	Species	TOGA	Galliformes	Coturnix	japonica	R42019-248						Lab			may exhibit some crepuscular (dawn and dusk) activity as well	Coturnix_japonica_2.0	GCA_001577835.1		Species	GCF_001577835.2	Coturnix_japonica_2.1	Species	Species	Species	Species	Species			bcjapo	Coturnix_japonica	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1_cds_from_genomic.fna.gz			
Coturnix_japonica_1	COJA1	1	Mine	PE	51	Coturnix_japonica	Coturnix japonica	Japanese quail	Bird	3		Diurnal				Species	Species	TOGA	Galliformes	Coturnix	japonica	R42019-249						Lab			may exhibit some crepuscular (dawn and dusk) activity as well	Coturnix_japonica_2.0	GCA_001577835.1		Species	GCF_001577835.2	Coturnix_japonica_2.1	Species	Species	Species	Species	Species			bcjapo	Coturnix_japonica	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1_cds_from_genomic.fna.gz			
Coturnix_japonica_2	COJA2	2	Mine	PE	51	Coturnix_japonica	Coturnix japonica	Japanese quail	Bird	3		Diurnal				Species	Species	TOGA	Galliformes	Coturnix	japonica	R42019-247						Lab			may exhibit some crepuscular (dawn and dusk) activity as well	Coturnix_japonica_2.0	GCA_001577835.1		Species	GCF_001577835.2	Coturnix_japonica_2.1	Species	Species	Species	Species	Species			bcjapo	Coturnix_japonica	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1/GCF_001577835.2_Coturnix_japonica_2.1_cds_from_genomic.fna.gz			
Eptatretus_cirrhatus_4	EPCI4	4	SRA	PE	11	Eptatretus_cirrhatus	Eptatretus cirrhatus	Broadgilled hagfish	Hagfish	5		Nocturnal				Genus	Genus		Myxiniformes	Eptatretus	cirrhatus		PRJNA292033	SRR2146915		SAMN03960115	SRX1134576	Both eyes			http://genomewiki.ucsc.edu/index.php/Opsin_evolution:_key_critters_(deuterostomes)	Eburgeri_3.2	GCA_900186335.2	Eptatretus burgeri	Genus			Genus	No	Genus				x	hecirr					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
