SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismSerial	OrganismID	OrganismName	CommonName	Category	NumberSamples	Habitat	Nocturnality	NumMacula	NumFovea	NumFoveola	GenomeAvailable	AnnotationAvailable	ZoonomiaPresence	Order	Genus	Species	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_Downloaded	SRA_BioSampleID	SRA_ExperimentID	Notes	Life stage	Sex	NocturnalityComments	GenomeAssemblyENSEMBL	GenomeAccessionENSEMBL	GenusAlternativeENSEMBL	GenomeNCBI	GenomeAccessionNCBI	GenomeAssemblyNCBI	GenomeENSEMBL	AnnotationNCBI	AnnotationENSEMBL	GenomeZoonomia	AnnotationZoonomia	ZoonomiaComment	EarlyChordateSet	SpeciesCode	ActualOrganismID	source	gtf_url	cds_url	ReferencePaper	DOI	GenomeAnnotationInRefPaper
Tyto_longimembris_0	TYLO0	0	SRA	PE	73	Tyto_longimembris	Tyto longimembris	Eastern grass owl	Bird	1		Nocturnal				Genus	Genus		Strigiformes	Tyto	longimembris		PRJNA314290	SRR3203222		SAMN04531185	SRX1612725	retina and cochlea							Genus	GCF_018691265.1	T.alba_DEE_v4.0	No	Genus	No					btlong	Tyto_alba	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/691/265/GCF_018691265.1_T.alba_DEE_v4.0/GCF_018691265.1_T.alba_DEE_v4.0_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/691/265/GCF_018691265.1_T.alba_DEE_v4.0/GCF_018691265.1_T.alba_DEE_v4.0_cds_from_genomic.fna.gz	NoReferencePaper		
Upupa_epops_0	UPEP0	0	SRA	PE	71	Upupa_epops	Upupa epops	Eurasian hoopoe	Bird	1		Diurnal				Species	Species	TOGA	Bucerotiformes	Upupa	epops		PRJNA314290	SRR3203224		SAMN04531186	SRX1612727	retina and cochlea							Species	GCA_013397515.1	ASM1339751v1	No	Species	No	Species	Species			buepop					NoReferencePaper		
Bubo_bubo_0	BUBU0	0	SRA	PE	82	Bubo_bubo	Bubo bubo	Eurasian eagle-owl	Bird	1		Nocturnal				Species	Species		Strigiformes	Bubo	bubo		PRJNA314290	SRR3203225		SAMN04531374	SRX1612728	retina and cochlea				BubBub1.0	GCA_010303855.1		Species			Species	No	Species					bbbubo	Bubo_bubo	ENSEMBL	https://ftp.ensembl.org/pub/release-110/gtf/bubo_bubo/Bubo_bubo.BubBub1.0.110.gtf.gz	https://ftp.ensembl.org/pub/release-110/fasta/bubo_bubo/cds/Bubo_bubo.BubBub1.0.cds.all.fa.gz	NoReferencePaper		
Elanus_caeruleus_0	ELCA0	0	SRA	PE	65	Elanus_caeruleus	Elanus caeruleus	Black-winged kite	Bird	1		Diurnal				Genus	No		Accipitriformes	Elanus	caeruleus		PRJNA314290	SRR3203227		SAMN04531378	SRX1612730	retina and cochlea			may exhibit some crepuscular (dawn and dusk) activity as well				Genus			No	No	No					becaer					NoReferencePaper		
Otus_scops_0	OTSC0	0	SRA	PE	77	Otus_scops	Otus scops	Eurasian scops owl	Bird	1		Nocturnal				Genus	Genus	TOGA	Strigiformes	Otus	scops		PRJNA314290	SRR3203230		SAMN04531379	SRX1612733	retina and cochlea				OtuSun1.0	GCA_010365825.1	Otus sunia	Genus			Genus	No	Genus	Genus	Genus	Otus sunia		boscop	Otus_sunia	ENSEMBL	https://ftp.ensembl.org/pub/release-110/gtf/otus_sunia/Otus_sunia.OtuSun1.0.110.gtf.gz	https://ftp.ensembl.org/pub/release-110/fasta/otus_sunia/cds/Otus_sunia.OtuSun1.0.cds.all.fa.gz	NoReferencePaper		
Falco_tinnunculus_0	FATI0	0	SRA	PE	56	Falco_tinnunculus	Falco tinnunculus	Common kestrel	Bird	1		Diurnal				Species	Species	TOGA	Falconiformes	Falco	tinnunculus		PRJNA314290	SRR3203231		SAMN04531380	SRX1612734	retina and cochlea				FalTin1.0	GCA_010332995.1		Species	GCF_015220075.1	bFalRus1.pri	Species	Genus	Species	Species	Species			bftinn	Falco_tinnunculus	ENSEMBL	https://ftp.ensembl.org/pub/release-110/gtf/falco_tinnunculus/Falco_tinnunculus.FalTin1.0.110.gtf.gz	https://ftp.ensembl.org/pub/release-110/fasta/falco_tinnunculus/cds/Falco_tinnunculus.FalTin1.0.cds.all.fa.gz	NoReferencePaper		
Butastur_indicus_0	BUIN0	0	SRA	PE	66	Butastur_indicus	Butastur indicus	Grey-faced buzzard	Bird	1		Diurnal				Species	No		Accipitriformes	Butastur	indicus		PRJNA314290	SRR3203233		SAMN04531381	SRX1612736	retina and cochlea			may exhibit some nocturnal activity as well.				Species			No	No	No					bbindi					NoReferencePaper		
Gallus_gallus_0	GAGA0	0	NNRL	SE	50	Gallus_gallus	Gallus gallus	Chicken	Bird	3		Diurnal				Species	Species		Galliformes	Gallus	gallus	R22011-042						wt-1day			may exhibit some crepuscular (dawn and dusk) activity as well	bGalGal1.mat.broiler.GRCg7b	GCA_016699485.1		Species	GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Species	Species	Species				x	bggall	Gallus_gallus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_cds_from_genomic.fna.gz			
Gallus_gallus_1	GAGA1	1	NNRL	SE	50	Gallus_gallus	Gallus gallus	Chicken	Bird	3		Diurnal				Species	Species		Galliformes	Gallus	gallus	R22011-043						wt-5day			may exhibit some crepuscular (dawn and dusk) activity as well	bGalGal1.mat.broiler.GRCg7b	GCA_016699485.1		Species	GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Species	Species	Species				x	bggall	Gallus_gallus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_cds_from_genomic.fna.gz			
Gallus_gallus_2	GAGA2	2	NNRL	SE	50	Gallus_gallus	Gallus gallus	Chicken	Bird	3		Diurnal				Species	Species		Galliformes	Gallus	gallus	R22011-044						wt-10day			may exhibit some crepuscular (dawn and dusk) activity as well	bGalGal1.mat.broiler.GRCg7b	GCA_016699485.1		Species	GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Species	Species	Species				x	bggall	Gallus_gallus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_cds_from_genomic.fna.gz			
Accipiter_virgatus_0	ACVI0	0	SRA	PE	68	Accipiter_virgatus	Accipiter virgatus	Besra	Bird	1		Diurnal				Species	Genus		Accipitriformes	Accipiter	virgatus		PRJNA314290	SRR3203234		SAMN04531382	SRX1612738	retina and cochlea			https://www.nature.com/articles/s41598-019-38680-x	Accipiter_nisus_ver1.0	GCA_004320145.1	Accipiter nisus	Species	GCF_929443795.1	bAccGen1.1	Genus	Genus	Genus					bavirg	Accipiter_nisus	ENSEMBL	https://ftp.ensembl.org/pub/release-110/gtf/accipiter_nisus/Accipiter_nisus.Accipiter_nisus_ver1.0.110.gtf.gz	https://ftp.ensembl.org/pub/release-110/fasta/accipiter_nisus/cds/Accipiter_nisus.Accipiter_nisus_ver1.0.cds.all.fa.gz	NoReferencePaper		
Aegypius_monachus_0	AEMO0	0	SRA	PE	64	Aegypius_monachus	Aegypius monachus	Cinereous vulture	Bird	1		Nocturnal				Species	No		Accipitriformes	Aegypius	monachus		PRJNA314290	SRR3203236		SAMN04531383	SRX1612739	retina and cochlea							Species			No	No	No					bamona					NoReferencePaper		
Falco_subbuteo_0	FASU0	0	SRA	PE	57	Falco_subbuteo	Falco subbuteo	Eurasian hobby	Bird	1		Diurnal				Genus	Genus		Falconiformes	Falco	subbuteo		PRJNA314290	SRR3203238		SAMN04531384	SRX1612742	retina and cochlea			may exhibit some crepuscular (dawn and dusk) activity as well	FalTin1.0	GCA_010332995.1		Genus	GCF_023638135.1	bFalBia1.pri	No	Genus	No					bfsubb	Falco_rusticolus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_cds_from_genomic.fna.gz	NoReferencePaper		
Picus_canus_0	PICA0	0	SRA	PE	72	Picus_canus	Picus canus	Grey-headed woodpecker	Bird	1		Diurnal				No	No		Piciformes	Picus	canus		PRJNA314290	SRR3203240		SAMN04531385	SRX1612743	retina and cochlea			may exhibit some crepuscular (dawn and dusk) activity as well				No			No	No	No					bpcanu					NoReferencePaper		
Ginglymostoma_cirratum_0	GICI0	0	NNRL	PE	20	Ginglymostoma_cirratum	Ginglymostoma cirratum	Nurse shark	Cartilaginous fish	2		Unknown				Species	No		Orectolobiformes	Ginglymostoma	cirratum	R42015-560						Shark-ret1 (subset trimmed reads from 349025481)							Species			No	No	No					cgcirr							
Ginglymostoma_cirratum_1	GICI1	1	NNRL	PE	20	Ginglymostoma_cirratum	Ginglymostoma cirratum	Nurse shark	Cartilaginous fish	2		Unknown				Species	No		Orectolobiformes	Ginglymostoma	cirratum	R42015-561						Shark-ret2-1							Species			No	No	No					cgcirr							
Gymnothorax_saxicola_0	GYSA0	0	Mine	PE	25	Gymnothorax_saxicola	Gymnothorax saxicola	Ocellated moray eel	Fish	3		Unknown				Genus	Genus		Anguilliformes	Gymnothorax	saxicola	R42019-261						Commercial; maybe wild?							Genus	GCA_029692085.1	GJAV_1.0	No	Genus	No					fgsaxi							
Gymnothorax_saxicola_1	GYSA1	1	Mine	PE	25	Gymnothorax_saxicola	Gymnothorax saxicola	Ocellated moray eel	Fish	3		Unknown				Genus	Genus		Anguilliformes	Gymnothorax	saxicola	R42019-262						Commercial; maybe wild?							Genus	GCA_029692085.1	GJAV_1.0	No	Genus	No					fgsaxi							
Gymnothorax_saxicola_2	GYSA2	2	Mine	PE	25	Gymnothorax_saxicola	Gymnothorax saxicola	Ocellated moray eel	Fish	3		Unknown				Genus	Genus		Anguilliformes	Gymnothorax	saxicola	R42019-260						Commercial; maybe wild?							Genus	GCA_029692085.1	GJAV_1.0	No	Genus	No					fgsaxi							
Athene_noctua_0	ATNO0	0	SRA	PE	76	Athene_noctua	Athene noctua	Little owl	Bird	1		Nocturnal				Genus	Genus		Strigiformes	Athene	noctua		PRJNA314290	SRR3203242		SAMN04531386	SRX1612744	retina and cochlea			"https://en.wikipedia.org/wiki/Little_owl#:~:text=Athene%20noctua,-(Scopoli%2C%201769)&text=It%20is%20a%20small%2C%20cryptically,other%20invertebrates%20and%20small%20vertebrates."	athCun1	GCA_003259725.1	Athene cunicularia	Genus	GCF_003259725.1	athCun1	Genus	Genus	Genus					banoct	Athene_cunicularia	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/259/725/GCF_003259725.1_athCun1/GCF_003259725.1_athCun1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/259/725/GCF_003259725.1_athCun1/GCF_003259725.1_athCun1_cds_from_genomic.fna.gz	NoReferencePaper		
Otus_bakkamoena_0	OTBA0	0	SRA	PE	78	Otus_bakkamoena	Otus bakkamoena	Indian scops owl	Bird	1		Nocturnal				Genus	Genus		Strigiformes	Otus	bakkamoena		PRJNA314290	SRR3203243		SAMN04531388	SRX1612745	retina and cochlea				OtuSun1.0	GCA_010365825.1	Otus sunia	Genus			Genus	No	Genus					bobakk	Otus_sunia	ENSEMBL	https://ftp.ensembl.org/pub/release-110/gtf/otus_sunia/Otus_sunia.OtuSun1.0.110.gtf.gz	https://ftp.ensembl.org/pub/release-110/fasta/otus_sunia/cds/Otus_sunia.OtuSun1.0.cds.all.fa.gz	NoReferencePaper		
Homo_sapiens_0	HOSA0	0	NNRL	PE	108	Homo_sapiens	Homo sapiens	Human	Mammal	6		Diurnal				Species	Species	Species	Primates	Homo	sapiens	R42017-002						68044Norm-87HM-Ret				GRCh38.p13	GCA_000001405.28		Species	GCF_000001405.40	GRCh38.p14	Species	Species	Species	Species	Species		x	mhsapi							
Homo_sapiens_1	HOSA1	1	NNRL	PE	108	Homo_sapiens	Homo sapiens	Human	Mammal	6		Diurnal				Species	Species	Species	Primates	Homo	sapiens	R42017-004						68427Norm-92CF-Ret				GRCh38.p13	GCA_000001405.28		Species	GCF_000001405.40	GRCh38.p14	Species	Species	Species	Species	Species		x	mhsapi							
Homo_sapiens_2	HOSA2	2	NNRL	PE	108	Homo_sapiens	Homo sapiens	Human	Mammal	6		Diurnal				Species	Species	Species	Primates	Homo	sapiens	R42017-007						68044Norm-87HM-FovMac				GRCh38.p13	GCA_000001405.28		Species	GCF_000001405.40	GRCh38.p14	Species	Species	Species	Species	Species		x	mhsapi							
Homo_sapiens_3	HOSA3	3	NNRL	PE	108	Homo_sapiens	Homo sapiens	Human	Mammal	6		Diurnal				Species	Species	Species	Primates	Homo	sapiens	R42017-010						68427Norm-92CF-FovMac				GRCh38.p13	GCA_000001405.28		Species	GCF_000001405.40	GRCh38.p14	Species	Species	Species	Species	Species		x	mhsapi							
Homo_sapiens_4	HOSA4	4	NNRL	PE	108	Homo_sapiens	Homo sapiens	Human	Mammal	6		Diurnal				Species	Species	Species	Primates	Homo	sapiens	R42017-011						01-6-8433_CM				GRCh38.p13	GCA_000001405.28		Species	GCF_000001405.40	GRCh38.p14	Species	Species	Species	Species	Species		x	mhsapi							
Homo_sapiens_5	HOSA5	5	NNRL	PE	108	Homo_sapiens	Homo sapiens	Human	Mammal	6		Diurnal				Species	Species	Species	Primates	Homo	sapiens	R42017-012						02S-125_CF				GRCh38.p13	GCA_000001405.28		Species	GCF_000001405.40	GRCh38.p14	Species	Species	Species	Species	Species		x	mhsapi							
Canis_familiaris_3	CAFA3	3	SRA	PE	92	Canis_familiaris	Canis familiaris	Dog	Mammal	5		Unknown				Species	Species	Species	Carnivora	Canis	familiaris		PRJNA327075	SRR3727711		SAMN05300665	SRX1884097					Dog10K_Boxer_Tasha	GCA_000002285.4		Species	GCF_000002285.5	Dog10K_Boxer_Tasha	Species	Species	Species	Species	Species	Canis lupus familiaris		mcfami					NoReferencePaper		
Ictidomys_tridecemlineatus_1	ICTR1	1	SRA	PE	99	Ictidomys_tridecemlineatus	Ictidomys tridecemlineatus	13-lined Ground Squirrel	Mammal	3		Unknown				Species	Species	Species	Rodentia	Ictidomys	tridecemlineatus		PRJNA335655	SRR3957257		SAMN05449770	SRX1981366					SpeTri2.0	GCA_000236235.1		Species	GCF_016881025.1	HiC_Itri_2	Species	Species	Species	Species	Species			mitrid					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Ictidomys_tridecemlineatus_0	ICTR0	0	SRA	PE	99	Ictidomys_tridecemlineatus	Ictidomys tridecemlineatus	13-lined Ground Squirrel	Mammal	3		Unknown				Species	Species	Species	Rodentia	Ictidomys	tridecemlineatus		PRJNA335655	SRR3957258		SAMN05449769	SRX1981367					SpeTri2.0	GCA_000236235.1		Species	GCF_016881025.1	HiC_Itri_2	Species	Species	Species	Species	Species			mitrid					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Ictidomys_tridecemlineatus_2	ICTR2	2	SRA	PE	99	Ictidomys_tridecemlineatus	Ictidomys tridecemlineatus	13-lined Ground Squirrel	Mammal	3		Unknown				Species	Species	Species	Rodentia	Ictidomys	tridecemlineatus		PRJNA335655	SRR3957259		SAMN05449768	SRX1981368					SpeTri2.0	GCA_000236235.1		Species	GCF_016881025.1	HiC_Itri_2	Species	Species	Species	Species	Species			mitrid					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Macaca_fascicularis_3	MAFA3	3	SRA	PE	107	Macaca_fascicularis	Macaca fascicularis	Crab-eating macaque	Mammal	4		Unknown				Species	Species	Species	Primates	Macaca	fascicularis		PRJNA335657	SRR3957242		SAMN05449785	SRX1981351					Macaca_fascicularis_6.0	GCA_011100615.1		Species	GCF_012559485.2	MFA1912RKSv2	Species	Species	Species	Species	Species			mmfasc					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Lepomis_macrochirus_0	LEMA0	0	Mine	PE	35	Lepomis_macrochirus	Lepomis macrochirus	Bluegill	Fish	2		Unknown				Species	No		Perciformes	Lepomis	macrochirus	R42019-292						Commercial							Species			No	No	No					flmacr						https://doi.org/10.1093/hmg/ddw268	
Lepomis_macrochirus_1	LEMA1	1	Mine	PE	35	Lepomis_macrochirus	Lepomis macrochirus	Bluegill	Fish	2		Unknown				Species	No		Perciformes	Lepomis	macrochirus	R42019-293						Commercial							Species			No	No	No					flmacr						https://doi.org/10.1093/hmg/ddw268	
Macaca_fascicularis_2	MAFA2	2	SRA	PE	107	Macaca_fascicularis	Macaca fascicularis	Crab-eating macaque	Mammal	4		Unknown				Species	Species	Species	Primates	Macaca	fascicularis		PRJNA335657	SRR3957243		SAMN05449784	SRX1981352					Macaca_fascicularis_6.0	GCA_011100615.1		Species	GCF_012559485.2	MFA1912RKSv2	Species	Species	Species	Species	Species			mmfasc					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Macaca_fascicularis_0	MAFA0	0	SRA	PE	107	Macaca_fascicularis	Macaca fascicularis	Crab-eating macaque	Mammal	4		Unknown				Species	Species	Species	Primates	Macaca	fascicularis		PRJNA335657	SRR3957244		SAMN05449783	SRX1981353					Macaca_fascicularis_6.0	GCA_011100615.1		Species	GCF_012559485.2	MFA1912RKSv2	Species	Species	Species	Species	Species			mmfasc					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Macaca_fascicularis_1	MAFA1	1	SRA	PE	107	Macaca_fascicularis	Macaca fascicularis	Crab-eating macaque	Mammal	4		Unknown				Species	Species	Species	Primates	Macaca	fascicularis		PRJNA335657	SRR3957245		SAMN05449782	SRX1981354					Macaca_fascicularis_6.0	GCA_011100615.1		Species	GCF_012559485.2	MFA1912RKSv2	Species	Species	Species	Species	Species			mmfasc					Mustafi_Palczewski_2016_TranscriptomeAnalysisReveals	https://doi.org/10.1093/hmg/ddw268	
Lethenteron_japonicum_0	LEJA0	0	SRA	PE	15	Lethenteron_japonicum	Lethenteron japonicum	Japanese lamprey	Lamprey	1		Unknown				Genus	No		Petromyzontiformes	Lethenteron	japonicum		PRJNA349779	SRR5223763		SAMN05933006	SRX2532946	name confusion	adult						Genus			No	No	No					lljapo					NoReferencePaper		
Andrias_davidianus_0	ANDA0	0	SRA	PE	37	Andrias_davidianus	Andrias davidianus	Chinese giant salamander	Amphibian	1		Nocturnal				No	No		Urodela	Andrias	davidianus		PRJNA350354	SRR4449169		SAMN05938515	SRX2267620				"http://www.edgeofexistence.org/species/chinese-giant-salamander/#:~:text=Habitat%20and%20Ecology&text=External%20fertilization%20of%20the%20eggs,daytime%20during%20the%20breeding%20season."				No			No	No	No					aadavi					Geng_Xu_2017_ReferenceGeneSet	https://doi.org/10.1093/gigascience/gix006	TrinityBasedPipeline
Canis_familiaris_1	CAFA1	1	SRA	SE	92	Canis_familiaris	Canis familiaris	Dog	Mammal	5		Unknown				Species	Species	Species	Carnivora	Canis	familiaris		PRJNA382537	SRR5443379		SAMN06708667	SRX2732742					Dog10K_Boxer_Tasha	GCA_000002285.4		Species	GCF_000002285.5	Dog10K_Boxer_Tasha	Species	Species	Species	Species	Species	Canis lupus familiaris		mcfami					Sudharsan_Beltran_2017_InvolvementInnateImmune	https://doi.org/10.1038/s41598-017-18236-7	
Macaca_mulatta_0	MAMU0	0	NNRL	PE	106	Macaca_mulatta	Macaca mulatta	Rhesus macaque	Mammal	3		Unknown				Species	Species	Species	Primates	Macaca	mulatta	R42015-026						Macaque_1				Mmul_10	GCA_003339765.3		Species	GCF_003339765.1	Mmul_10	Species	Species	Species	Species	Species			mmmula							
Macaca_mulatta_1	MAMU1	1	NNRL	PE	106	Macaca_mulatta	Macaca mulatta	Rhesus macaque	Mammal	3		Unknown				Species	Species	Species	Primates	Macaca	mulatta	R42015-027						Macaque_2				Mmul_10	GCA_003339765.3		Species	GCF_003339765.1	Mmul_10	Species	Species	Species	Species	Species			mmmula							
Macaca_mulatta_2	MAMU2	2	NNRL	PE	106	Macaca_mulatta	Macaca mulatta	Rhesus macaque	Mammal	3		Unknown				Species	Species	Species	Primates	Macaca	mulatta	R42015-028						Macaque_3				Mmul_10	GCA_003339765.3		Species	GCF_003339765.1	Mmul_10	Species	Species	Species	Species	Species			mmmula							
Megascops_asio_0	MEAS0	0	Mine	PE	83	Megascops_asio	Megascops asio	Eastern screech owl	Bird	1		Nocturnal				No	No		Strigiformes	Megascops	asio	R42019-288						Wild							No			No	No	No					bmasio							
Melopsittacus_undulatus_0	MEUN0	0	Mine	PE	58	Melopsittacus_undulatus	Melopsittacus undulatus	Budgerigar	Bird	3		Diurnal				Species	Species	TOGA	Psittaciformes	Melopsittacus	undulatus	R42019-279						Lab			may exhibit some crepuscular (dawn and dusk) activity as well	bMelUnd1.mat.Z	GCA_012275295.1		Species	GCF_012275295.1	bMelUnd1.mat.Z	Species	Species	Species	Species	Species			bmundu	Melopsittacus_undulatus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z/GCF_012275295.1_bMelUnd1.mat.Z_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z/GCF_012275295.1_bMelUnd1.mat.Z_cds_from_genomic.fna.gz			
Melopsittacus_undulatus_1	MEUN1	1	Mine	PE	58	Melopsittacus_undulatus	Melopsittacus undulatus	Budgerigar	Bird	3		Diurnal				Species	Species	TOGA	Psittaciformes	Melopsittacus	undulatus	R42019-278						Lab			may exhibit some crepuscular (dawn and dusk) activity as well	bMelUnd1.mat.Z	GCA_012275295.1		Species	GCF_012275295.1	bMelUnd1.mat.Z	Species	Species	Species	Species	Species			bmundu	Melopsittacus_undulatus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z/GCF_012275295.1_bMelUnd1.mat.Z_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z/GCF_012275295.1_bMelUnd1.mat.Z_cds_from_genomic.fna.gz			
Melopsittacus_undulatus_2	MEUN2	2	Mine	PE	58	Melopsittacus_undulatus	Melopsittacus undulatus	Budgerigar	Bird	3		Diurnal				Species	Species	TOGA	Psittaciformes	Melopsittacus	undulatus	R42019-277						Lab			may exhibit some crepuscular (dawn and dusk) activity as well	bMelUnd1.mat.Z	GCA_012275295.1		Species	GCF_012275295.1	bMelUnd1.mat.Z	Species	Species	Species	Species	Species			bmundu	Melopsittacus_undulatus	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z/GCF_012275295.1_bMelUnd1.mat.Z_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z/GCF_012275295.1_bMelUnd1.mat.Z_cds_from_genomic.fna.gz			
Canis_familiaris_2	CAFA2	2	SRA	SE	92	Canis_familiaris	Canis familiaris	Dog	Mammal	5		Unknown				Species	Species	Species	Carnivora	Canis	familiaris		PRJNA382537	SRR5443380		SAMN06708675	SRX2732743					Dog10K_Boxer_Tasha	GCA_000002285.4		Species	GCF_000002285.5	Dog10K_Boxer_Tasha	Species	Species	Species	Species	Species	Canis lupus familiaris		mcfami					Sudharsan_Beltran_2017_InvolvementInnateImmune	https://doi.org/10.1038/s41598-017-18236-7	
Canis_familiaris_0	CAFA0	0	SRA	SE	92	Canis_familiaris	Canis familiaris	Dog	Mammal	5		Unknown				Species	Species	Species	Carnivora	Canis	familiaris		PRJNA382537	SRR5443381		SAMN06708674	SRX2732744					Dog10K_Boxer_Tasha	GCA_000002285.4		Species	GCF_000002285.5	Dog10K_Boxer_Tasha	Species	Species	Species	Species	Species	Canis lupus familiaris		mcfami					Sudharsan_Beltran_2017_InvolvementInnateImmune	https://doi.org/10.1038/s41598-017-18236-7	
Papio_anubis_2	PAAN2	2	SRA	SE	105	Papio_anubis	Papio anubis	Olive baboon	Mammal	3		Unknown				Species	Species	Species	Primates	Papio	anubis		PRJNA386932	SRR5570466		SAMN07131846	SRX2829655	5-6yo; ZT10		Male		Panubis1.0	GCA_008728515.1		Species	GCF_008728515.1	Panubis1.0	Species	Species	Species	Species	Species			mpanub					Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318	
Papio_anubis_1	PAAN1	1	SRA	SE	105	Papio_anubis	Papio anubis	Olive baboon	Mammal	3		Unknown				Species	Species	Species	Primates	Papio	anubis		PRJNA386932	SRR5570467		SAMN07131845	SRX2829656	5-6yo; ZT12		Male		Panubis1.0	GCA_008728515.1		Species	GCF_008728515.1	Panubis1.0	Species	Species	Species	Species	Species			mpanub					Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318	
Papio_anubis_0	PAAN0	0	SRA	SE	105	Papio_anubis	Papio anubis	Olive baboon	Mammal	3		Unknown				Species	Species	Species	Primates	Papio	anubis		PRJNA386932	SRR5570468		SAMN07131844	SRX2829657	5-6yo; ZT14		Male		Panubis1.0	GCA_008728515.1		Species	GCF_008728515.1	Panubis1.0	Species	Species	Species	Species	Species			mpanub					Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318	
Papio_anubis_3	PAAN3	3	SRA	SE	105	Papio_anubis	Papio anubis	Olive baboon	Mammal	3		Unknown				Species	Species	Species	Primates	Papio	anubis		PRJNA386932	SRR5570461		SAMN07131851	SRX2829650					Panubis1.0	GCA_008728515.1		Species	GCF_008728515.1	Panubis1.0	Species	Species	Species	Species	Species			mpanub					Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318	
Mus_musculus_0	MUMU0	0	NNRL	SE	100	Mus_musculus	Mus musculus	Mouse	Mammal	3		Nocturnal				Species	Species	Species	Rodentia	Mus	musculus	R12009-001						C57BL/6			"https://www.nature.com/articles/s41598-020-67859-w#:~:text=musculus%2C%20and%20wild%20M.,group%20and%20individual%20housing%20conditions."	GRCm39	GCA_000001635.9		Species	GCF_000001635.27	GRCm39	Species	Species	Species	Species	Species		x	mmmusc							
