"Eptatretus_cirrhatus_0"	"Eptatretus_cirrhatus_1"	"Eptatretus_cirrhatus_2"	"Eptatretus_cirrhatus_3"	"Eptatretus_cirrhatus_4"	"Geotria_australis_0"	"Geotria_australis_1"	"Geotria_australis_2"	"Lethenteron_camtschaticum_0"	"Lethenteron_camtschaticum_1"	"Mordacia_mordax_0"	"Petromyzon_marinus_0"	"Petromyzon_marinus_1"	"Petromyzon_marinus_2"	"Petromyzon_marinus_3"	"Petromyzon_marinus_4"	"Petromyzon_marinus_5"	"Petromyzon_marinus_6"
"MAFL1A"	0	0	0	0	0	0	0	0	1.79393235761735	11.2702955626436	1.01347382853433	0.703455269181103	0.254038393668493	0.823059124981148	0.751233748941409	0	0.470934833986786	0.521105900269872
"MAFL1B"	41.1673995029171	51.7096087783661	39.3524776426158	44.8598543606117	47.6011741620854	19.8717887085845	20.123937461503	28.5770407152652	71.2463868311938	13.4122423650066	8.86691540642108	81.6851913500055	87.2787512473905	30.9774837165458	67.1272793096538	16.2502183684268	29.9231679922344	21.9175250335254
"MAFL2A"	NA	NA	NA	NA	NA	0	1.23751975597213	1.65320127520802	2.51204338026375	0.988887867089233	3.24818082764003	0.466799727893508	0.777671722715182	0.914923859367045	1.71913016384971	0	0.544388811074037	0
"MAFL2B"	3.57994547734366	3.66885442353272	2.27891141250563	2.55623481981104	2.71655924421567	0.232260677317454	0	0.150148364979409	0.942341841509371	0.60736399767596	0	0	0	0.966151030176867	0.18548111886468	0	0	0
"MAFS1A"	7.99833800451932	10.4747208211303	5.61895323375171	9.1955781197394	8.58434499844009	19.9495446714909	12.5996104861935	10.7236725121936	6.58823946514	1.07991188835723	16.0962685762417	5.24410106316621	1.80680146613615	4.43122396449814	1.89229449369411	0.374388497858184	0.720629524105321	0.383427280819424
"OG0003792"	34.6371238858631	36.7623913110397	30.418250324066	39.3391209874323	38.6371797203026	5.22261830815053	6.57940819108682	5.62798754030639	11.6767920944896	9.74466503605364	26.9274793734502	1.38251669564173	6.89202757551487	3.49581010374186	17.0826882535384	19.1711535594908	17.990768938821	15.4497912061995
"OG0003793"	0	0	0	0	0	0	0	0	0.171521184850937	2.53080547181049	0	0.322486492251195	0	0.946523628803803	0	0	0	0
"OG0003795"	149.385706233383	225.956172538302	139.65258791248	144.518944502197	154.417267668844	4209.10236895725	3926.51593874144	2866.67287758643	2666.13972429174	8103.48628974662	2082.22565481879	8721.82965115589	3517.72834173834	11493.5166878799	2825.38164327661	5450.99453202681	5890.92961043312	5856.90230874085
"OG0003796"	2.82793431133422	1.95144152535433	3.30404891511908	5.51900331271438	4.4685830832202	0.58413528160013	1.04545137834473	2.05101665288406	3.87624677830353	0.184170662347124	1.45392056622245	0.936021477893426	2.56771877766854	1.56333899112365	3.20922165738042	1.89180015136964	2.45659184926736	1.71068859588659
"OG0003797"	31.5130579563393	34.8428838120188	29.9432800833482	28.9701692345926	27.2668332709373	91.1187425944519	66.1813506385407	41.9604300633349	39.7917908174702	46.876720809581	57.7542224065762	196.200610217214	87.2848306601299	112.866227242014	43.5969763989381	109.171413882995	85.7714620681182	103.930957170463
